SchoolName;SportName;NCAAConference;Athletes ;Score;Eligibility;PreviousAthletes;PreviousScore;PreviousEligibility
University of Virginia;Women's Soccer;Atlantic Coast Conference;22;974;1;22;1000;1
University of Nebraska, Lincoln;Men's Tennis;Big Ten Conference;12;1000;1;11;952;1
University of Nebraska, Lincoln;Women's Tennis;Big Ten Conference;9;1000;1;9;971;1
North Carolina State University;Men's Basketball;Atlantic Coast Conference;12;957;0.9583;12;1000;1
Harvard University;Men's Skiing;The Ivy League;9;1000;1;7;962;1
University of Wisconsin, Madison;Men's Tennis;Big Ten Conference;10;1000;1;8;900;1
Boston College;Women's Tennis;Atlantic Coast Conference;8;1000;1;8;966;1
University of Iowa;Men's Tennis;Big Ten Conference;9;1000;1;13;1000;1
Brown University;Women's Tennis;The Ivy League;9;1000;1;12;1000;1
Indiana University-Purdue University, Fort Wayne;Women's Tennis;The Summit League;7;1000;1;8;929;1
Kansas State University;Women's Tennis;Big 12 Conference;10;1000;1;9;969;1
University of Pittsburgh;Women's Tennis;Atlantic Coast Conference;9;1000;1;8;1000;1
Yale University;Men's Soccer;The Ivy League;19;1000;1;27;989;1
University of Oregon;Women's Tennis;Pac-12 Conference;11;975;1;10;1000;1
University of Wisconsin, Madison;Men's Basketball;Big Ten Conference;14;1000;1;13;1000;1
University of Kansas;Men's Basketball;Big 12 Conference;13;959;0.9615;13;1000;1
University of Minnesota, Twin Cities;Women's Ice Hockey;Big Ten Conference;21;1000;1;23;989;1
University of Michigan;Men's Ice Hockey;Big Ten Conference;23;1000;1;19;1000;1
Wake Forest University;Men's Soccer;Atlantic Coast Conference;22;1000;1;16;1000;1
Washington State University;Women's Basketball;Pac-12 Conference;12;1000;1;14;1000;1
University of Utah;Women's Soccer;Pac-12 Conference;26;990;1;25;949;0.9592
University of Arizona;Women's Basketball;Pac-12 Conference;14;958;1;14;936;0.92
University of Southern California;Women's Soccer;Pac-12 Conference;20;986;1;18;986;1
University of Texas at Austin;Women's Soccer;Big 12 Conference;22;988;1;20;1000;1
Texas Tech University;Women's Tennis;Big 12 Conference;10;1000;1;9;1000;1
University of Texas at Austin;Women's Basketball;Big 12 Conference;17;1000;1;14;1000;1
Harvard University;Women's Skiing;The Ivy League;8;1000;1;10;974;1
University of Pennsylvania;Men's Tennis;The Ivy League;10;1000;1;12;1000;1
University of Minnesota, Twin Cities;Men's Ice Hockey;Big Ten Conference;25;990;0.9796;24;1000;1
Princeton University;Men's Basketball;The Ivy League;19;974;0.9737;17;938;0.9688
Oral Roberts University;Men's Basketball;The Summit League;14;963;0.9643;13;959;0.96
Oklahoma State University;Men's Basketball;Big 12 Conference;13;940;0.9231;14;1000;1
Virginia Polytechnic Institute and State University;Women's Basketball;Atlantic Coast Conference;12;979;1;12;950;1
Florida State University;Men's Tennis;Atlantic Coast Conference;11;1000;1;11;1000;1
University of Utah;Men's Tennis;Pac-12 Conference;9;968;1;7;1000;1
University of Pittsburgh;Men's Soccer;Atlantic Coast Conference;18;986;1;18;969;0.9688
West Virginia University;Women's Soccer;Big 12 Conference;21;986;1;20;971;0.9444
Brown University;Women's Basketball;The Ivy League;13;1000;1;17;1000;1
University of Notre Dame;Women's Basketball;Atlantic Coast Conference;13;1000;1;12;1000;1
Wake Forest University;Men's Tennis;Atlantic Coast Conference;6;958;1;4;938;1
Princeton University;Men's Ice Hockey;The Ivy League;28;1000;1;25;1000;1
University of South Dakota;Men's Basketball;The Summit League;14;946;0.9643;13;960;0.9615
University of Nebraska Omaha;Men's Ice Hockey;The Summit League;24;979;0.9792;25;947;0.9583
Indiana University-Purdue University at Indianapolis;Men's Soccer;The Summit League;17;964;1;21;988;1
University of Pittsburgh;Men's Basketball;Atlantic Coast Conference;11;1000;1;13;960;1
Princeton University;Women's Ice Hockey;The Ivy League;21;1000;1;19;1000;1
University of Iowa;Men's Basketball;Big Ten Conference;13;942;0.9615;11;1000;1
Boston College;Men's Tennis;Atlantic Coast Conference;10;974;1;10;1000;1
Rutgers, The State University of New Jersey, New Brunswick;Men's Basketball;Big Ten Conference;12;932;0.9565;14;1000;1
Oregon State University;Men's Basketball;Pac-12 Conference;14;907;0.9259;12;1000;0.9556
University of Maryland, College Park;Women's Soccer;Big Ten Conference;24;1000;1;26;967;1
Duke University;Women's Basketball;Atlantic Coast Conference;14;981;1;11;976;1
Boston College;Women's Skiing;Atlantic Coast Conference;5;1000;1;7;1000;1
University of Washington;Women's Soccer;Pac-12 Conference;29;1000;1;24;1000;1
University of California, Berkeley;Men's Soccer;Pac-12 Conference;28;949;0.9608;24;947;0.9167
Purdue University;Men's Basketball;Big Ten Conference;13;1000;1;13;960;0.96
The Ohio State University;Women's Tennis;Big Ten Conference;11;1000;1;10;1000;1
Pennsylvania State University;Men's Ice Hockey;Big Ten Conference;20;962;0.9744;-99;-99;-99
The Ohio State University;Men's Soccer;Big Ten Conference;26;957;0.9565;26;977;0.9778
Baylor University;Women's Soccer;Big 12 Conference;28;1000;1;27;1000;1
Oral Roberts University;Women's Basketball;The Summit League;14;923;0.9615;13;941;0.9615
Purdue University;Men's Tennis;Big Ten Conference;9;1000;1;9;941;1
University of Denver;Women's Soccer;The Summit League;22;988;1;22;1000;1
Northwestern University;Women's Tennis;Big Ten Conference;9;1000;1;8;1000;1
University of Louisville;Women's Soccer;Atlantic Coast Conference;25;1000;1;24;966;0.9778
Western Illinois University;Women's Soccer;The Summit League;30;991;0.9828;28;1000;1
