SchoolName;SportName;NCAAConference;Athletes ;Score;Eligibility;PreviousAthletes;PreviousScore;PreviousEligibility
Oklahoma State University;Women's Tennis;Big 12 Conference;9;1000;1;9;903;1
University of Iowa;Women's Soccer;Big Ten Conference;23;989;1;22;1000;1
Dartmouth College;Men's Ice Hockey;The Ivy League;26;1000;1;26;1000;1
Harvard University;Men's Tennis;The Ivy League;12;1000;1;11;976;1
Princeton University;Women's Soccer;The Ivy League;25;1000;1;22;988;0.9767
Baylor University;Men's Tennis;Big 12 Conference;12;929;0.9546;10;944;0.9444
University of Colorado, Boulder;Men's Basketball;Pac-12 Conference;13;959;0.96;12;979;1
West Virginia University;Women's Tennis;Big 12 Conference;10;1000;1;10;919;0.9474
Michigan State University;Women's Tennis;Big Ten Conference;11;1000;1;8;900;0.9333
University of Notre Dame;Men's Soccer;Atlantic Coast Conference;20;1000;1;22;1000;1
University of Michigan;Men's Basketball;Big Ten Conference;11;1000;1;13;980;1
Rutgers, The State University of New Jersey, New Brunswick;Women's Tennis;Big Ten Conference;8;1000;1;8;938;0.9375
University of Notre Dame;Men's Tennis;Atlantic Coast Conference;12;1000;1;11;1000;1
Boston College;Men's Ice Hockey;Atlantic Coast Conference;18;1000;1;18;1000;1
Columbia University-Barnard College;Women's Soccer;The Ivy League;20;1000;1;22;1000;1
Pennsylvania State University;Women's Ice Hockey;Big Ten Conference;21;1000;1;-99;-99;-99
University of Minnesota, Twin Cities;Women's Basketball;Big Ten Conference;10;1000;1;14;1000;1
University of Notre Dame;Women's Soccer;Atlantic Coast Conference;21;1000;1;19;959;0.946
University of Wisconsin, Madison;Women's Soccer;Big Ten Conference;25;945;0.9556;27;989;1
Stanford University;Women's Basketball;Pac-12 Conference;17;1000;1;16;1000;1
Clemson University;Women's Tennis;Atlantic Coast Conference;7;1000;1;8;933;1
University of Oregon;Women's Soccer;Pac-12 Conference;24;1000;1;22;1000;1
Columbia University-Barnard College;Women's Basketball;The Ivy League;13;1000;1;13;1000;1
Oral Roberts University;Men's Tennis;The Summit League;9;1000;1;6;882;0.7778
Harvard University;Women's Tennis;The Ivy League;8;1000;1;9;941;0.9412
Stanford University;Men's Soccer;Pac-12 Conference;17;1000;1;21;988;0.975
University of Miami (Florida);Women's Soccer;Atlantic Coast Conference;21;1000;1;28;978;1
Iowa State University;Women's Tennis;Big 12 Conference;11;976;1;9;1000;1
Cornell University;Women's Tennis;The Ivy League;8;1000;1;8;969;0.9375
Indiana University-Purdue University, Fort Wayne;Women's Soccer;The Summit League;24;956;0.9787;23;978;0.9783
University of Southern California;Women's Tennis;Pac-12 Conference;8;1000;1;10;971;1
University of Wisconsin, Madison;Women's Ice Hockey;Big Ten Conference;25;1000;1;25;966;0.9778
University of Oklahoma;Men's Basketball;Big 12 Conference;13;958;1;12;1000;1
University of Nebraska Omaha;Men's Soccer;The Summit League;17;1000;1;10;917;1
Western Illinois University;Men's Tennis;The Summit League;7;962;0.9286;9;967;1
University of Nebraska Omaha;Women's Soccer;The Summit League;21;1000;1;17;984;1
University of Louisville;Men's Basketball;Atlantic Coast Conference;13;1000;1;13;1000;1
University of Maryland, College Park;Women's Tennis;Big Ten Conference;8;1000;1;7;958;1
Dartmouth College;Men's Tennis;The Ivy League;11;1000;1;10;1000;1
University of Illinois, Champaign;Women's Basketball;Big Ten Conference;16;1000;1;15;949;0.9333
University of California, Berkeley;Women's Soccer;Pac-12 Conference;26;971;0.9808;31;1000;1
