Year,Firm,ESG controversy score,Environment controversy score,Social controvery score,Governance controversy score,Score - Emission Reduction/Biodiversity Controversies (Inactive),Score - Emission Reduction/Spill/Pollution Controversies (Inactive),Score - Product Innovation/Product Impact Controversies (Inactive),Score - Resource Reduction/Environment Impact Controversy (Inactive),Score - Client Loyalty/Anti-competition Controversy (Inactive),Score - Community/Bribery Corruption Fraud Controversies (Inactive),Score - Community/Critical Countries-Indigenous Controversy (Inactive),Score - Community/Public Health Controversies (Inactive),Score - Diversity and Opportunity/Diversity Controversies (Inactive),Score - Employment Quality/Wages Work Condition Controversy (Inactive),Score - Health & Safety/Health & Safety Controversies (Inactive),Score - Human Rights/Child Labor Controversies (Inactive),Score - Human Rights/Freedom of Association Controversies (Inactive),Score - Human Rights/Human Rights Controversies (Inactive),Score - Product Responsibility/Customer Controversies (Inactive),Score - Product Responsibility/Responsible Mrktg Controversy(Inactive),Score - Product Responsibility/Social Exclusion Controversy (Inactive),Score - Compensation Policy/Compensation Controversies (Inactive),Score - Shareholder Loyalty/Accounting Controversies (Inactive),Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive),Score - Shareholder Rights/Shareholder Controversies (Inactive),mv,mc,tobin,roe,oia,ois,esg_score,esg_binaire,csr_com,csr_report,assets,roa,sg,lev,div,ind,country
2013,ORIOLA B,64.58,54.495,55.48692308,52.14,53.21,59.21,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,58.94,50,52.57,52.18,53.21,50.6,232.16,385411,0.221,5.46,0.015618716,0.008966712,23.64,0,0,0,1491800,1,5.02,18.17,2.24,103,FI
2014,ORIOLA B,65.97,55.255,55.58538462,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,52.66,52.52,52.85,50.84,265.48,524379,0.347,2.09,0.052371655,0.028282578,27.22,0,0,0,870700,-17.58,-0.46,24.45,1.96,103,FI
2015,ORIOLA B,61.31,54.88,53.58307692,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,361.26,783485,0.74,-286.89,0.052480916,0.030437189,27.21,0,0,0,943200,5.27,0.87,9.8,0,103,FI
2016,ORIOLA B,59.89,55.0975,53.7,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,544.33,781788,0.799,22.92,0.051029252,0.028682784,43.63,0,0,0,923000,4.83,0.97,12.09,0,103,FI
2017,ORIOLA B,65.2,54.665,54.02692308,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,548.11,507484,0.902,20.86,0.030217391,0.01819729,41.82,0,0,1,920000,3.07,-6.97,12.21,0,103,FI
2018,ORIOLA B,65.53,53.14,54.97230769,53.725,51.39,54.86,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,56.44,50,52.71,53.86,53.12,55.21,352.95,359137,0.655,13.3,0.028216216,0.016814843,47.81,0,0,1,925000,1.5,1.6,12.66,5,103,FI
2013,ORION B,71.74,54.495,55.48692308,52.14,53.21,59.21,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,58.94,50,52.57,52.18,53.21,50.6,2173.43,2870416,3.734,40.86,0.267539374,0.259807329,47.9,0,0,1,977800,23.12,2.7,26.37,5.86,95,FI
2014,ORION B,70.92,55.255,55.58538462,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,52.66,52.52,52.85,50.84,2026.38,3625534,2.979,40.12,0.271310816,0.265832759,47.85,0,0,1,994800,21.87,0.83,23.57,6.37,95,FI
2015,ORION B,61.44,54.88,53.58307692,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,2598.77,4502339,3.619,41.04,0.254420338,0.262111067,47.41,0,0,1,1046300,20.81,0.03,17.95,4.85,95,FI
2016,ORION B,61.94,55.0975,53.7,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,3272.18,5940665,4.248,35,0.273412474,0.270330694,50.54,0,0,1,1061400,23.98,5.7,14.37,4.07,95,FI
