Year,Firm,ESG controversy score,Environment controversy score,Social controvery score,Governance controversy score,Score - Emission Reduction/Biodiversity Controversies (Inactive),Score - Emission Reduction/Spill/Pollution Controversies (Inactive),Score - Product Innovation/Product Impact Controversies (Inactive),Score - Resource Reduction/Environment Impact Controversy (Inactive),Score - Client Loyalty/Anti-competition Controversy (Inactive),Score - Community/Bribery Corruption Fraud Controversies (Inactive),Score - Community/Critical Countries-Indigenous Controversy (Inactive),Score - Community/Public Health Controversies (Inactive),Score - Diversity and Opportunity/Diversity Controversies (Inactive),Score - Employment Quality/Wages Work Condition Controversy (Inactive),Score - Health & Safety/Health & Safety Controversies (Inactive),Score - Human Rights/Child Labor Controversies (Inactive),Score - Human Rights/Freedom of Association Controversies (Inactive),Score - Human Rights/Human Rights Controversies (Inactive),Score - Product Responsibility/Customer Controversies (Inactive),Score - Product Responsibility/Responsible Mrktg Controversy(Inactive),Score - Product Responsibility/Social Exclusion Controversy (Inactive),Score - Compensation Policy/Compensation Controversies (Inactive),Score - Shareholder Loyalty/Accounting Controversies (Inactive),Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive),Score - Shareholder Rights/Shareholder Controversies (Inactive),mv,mc,tobin,roe,oia,ois,esg_score,esg_binaire,csr_com,csr_report,assets,roa,sg,lev,div,ind,country
2013,1&1 DRILLISCH,,,,,,,,,,,,,,,,,,,,,,,,,,588.27,1008000,1.456,19.47,0.182696294,0.216966354,,1,,,344955,47.31,-10.26,25.32,6.33,142,DE
2014,1&1 DRILLISCH,, , , ,,,,,,,,,,,,,,,,,,,,,,1116.97,1573331,2.633,71.57,0.164813988,0.270172761,,0,,,474808,12.82,-0.28,19.14,7.62,142,DE
2015,1&1 DRILLISCH,, , , ,,,,,,,,,,,,,,,,,,,,,,1581.52,2140750,2.834,15.12,0.090146573,0.096472696,,0,,,673725,8.52,117.35,23.35,5.38,142,DE
2016,1&1 DRILLISCH,, , , ,,,,,,,,,,,,,,,,,,,,,,2150.61,2239600,3.222,13.06,0.107609007,0.088284423,,0,,,582507,4.54,12.78,25.08,4.33,142,DE
2017,1&1 DRILLISCH,64.41, ,54.02692308,52.285,52.99,,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,2283.14,12166711,3.933,9.33,0.089737759,0.146497563,31.63,0,0,1,4591122,18.2,296.09,0.01,4.2,142,DE
2018,1&1 DRILLISCH,68.67, ,54.97230769,53.725,51.39,,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,56.44,50,52.71,53.86,53.12,55.21,12087.34,7848196,2.6,12.21,0.099415626,0.142417392,34.01,0,0,1,5246640,8.26,30.23,0.76,2.63,142,DE
2013,3I GROUP,62.5, ,55.48692308,52.14,53.21,,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,58.94,50,52.57,52.18,53.21,50.6,2109.79,3069640,0.622,-17.44,0.087955442,0.989556136,62.97,1,1,1,4309000,6.35,28.96,23.65,3.73,109,GB
2014,3I GROUP,9.09, ,55.58538462,39.0525,53.67,,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,0,52.52,52.85,50.84,3741.74,3866805,0.823,21.85,0.117164349,0.821086262,68.58,1,1,1,4387000,13.35,-17.96,19.49,3.14,109,GB
2015,3I GROUP,56.96, ,53.58307692,51.46,53.4,,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,4377,4691117,0.878,17.81,0.123982085,0.991856678,62.8,1,1,1,4912000,16.04,1.49,16.59,4.29,109,GB
2016,3I GROUP,57.63, ,53.7,51.92,53.13,,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,4684.09,4439227,0.926,15.61,0.108629076,0.820408163,75.64,1,1,1,5551000,16.51,19.71,15.08,4.15,109,GB
2017,3I GROUP,11.34, ,49.59230769,52.285,52.99,,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,0,54.08,50,51.63,52.54,52.06,52.91,6848.33,7291199,0.959,31.67,0.170713541,1.007915567,74.17,1,1,1,6713000,27.3,62.89,8.57,3.41,109,GB
2018,3I GROUP,61.18, ,54.97230769,53.725,51.39,,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,56.44,50,52.71,53.86,53.12,55.21,8887.23,8357185,1.262,19.92,0.144828459,1.235421166,78.01,1,1,1,7899000,20.52,-18.56,7.28,2.9,109,GB
2013,3I INFRASTRUCTURE,, , , ,,,,,,,,,,,,,,,,,,,,,,1074.37,1168672,0.883,8.41,0.069513476,0.977362205,,0,,,1428500,6.39,2.21,11.24,4.87,109,GB
2014,3I INFRASTRUCTURE,, , , ,,,,,,,,,,,,,,,,,,,,,,1176.6,1185420,0.988,4.45,0.063511942,0.944148936,,0,,,1117900,6.53,13.6,0,5.15,109,GB
2015,3I INFRASTRUCTURE,51.09, ,53.58307692,51.46,53.4,,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,1348.47,1411925,0.914,14.52,0.193627451,3.492847854,39.47,0,0,0,1387200,21.49,2.26,0,4.4,109,GB
2016,3I INFRASTRUCTURE,53, ,53.7,51.92,53.13,,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,1362.75,1368299,0.996,18.86,0.123050519,2.617460317,41.98,0,0,0,1340100,12.37,-18.08,0.4,4.45,109,GB
2017,3I INFRASTRUCTURE,50.85, ,54.02692308,52.285,52.99,,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,1917.59,1940179,0.715,9.37,0.076039043,1.735329341,50.27,0,0,0,1905600,9.24,32.54,5.53,3.96,109,GB
2018,3I INFRASTRUCTURE,50.78, ,54.97230769,53.725,51.39,,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,56.44,50,52.71,53.86,53.12,55.21,2135.22,1731087,1.039,10.64,0.259033545,5.003125,45.48,0,0,0,1854200,25.83,14.97,0.15,3.7,109,GB
2013,888 HOLDINGS,, , , ,,,,,,,,,,,,,,,,,,,,,,417,607161,2.087,24.39,0.179428183,0.140322877,,0,,,199924,17.03,8.35,0,1.32,100,GB
2014,888 HOLDINGS,, , , ,,,,,,,,,,,,,,,,,,,,,,607.16,490895,2.675,30.25,0.206464164,0.175941679,,0,,,235421,15.88,8.07,0,3.4,100,GB
2015,888 HOLDINGS,56.86,54.88,53.58307692,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,490.89,651673,1.64,29.09,0.124324966,0.107121054,42.57,0,1,1,261098,7.79,9.69,0,6.31,100,GB
2016,888 HOLDINGS,57.34,55.0975,53.7,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,651.67,778132,2.032,17.59,0.155873609,0.123846698,44.88,0,1,1,307775,13.47,27.83,0,5.35,100,GB
2017,888 HOLDINGS,58.97,54.665,54.02692308,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,778.11,1013217,2.073,28.87,0.198799636,0.139536057,49.39,0,1,1,292078,3.23,7.43,0,4.15,100,GB
2018,888 HOLDINGS,, , , ,,,,,,,,,,,,,,,,,,,,,,1012.1,637498,3.014,11.55,0.231071704,0.169070795,,0,,,297293,24.18,-2.36,0,6.1,100,GB
2013,A2A,59.68,54.495, ,52.14,53.21,59.21,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,,50,52.57,52.18,53.21,50.6,1370.02,2641643,0.568,9.14,0.049445384,0.093861527,49.63,0,1,1,10638000,1.96,-13.52,41.33,21.95,169,IT
2014,A2A,60,55.255, ,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,,50,52.66,52.52,52.85,50.84,2664.54,2601265,0.666,2.22,0.051648352,0.103731942,49.69,0,1,1,10010000,1.22,-11.06,40.52,3.06,169,IT
2015,A2A,56.86,54.88, ,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,2623.81,3894909,0.653,-1.43,0.060254925,0.116236537,50.42,0,1,1,9493000,2.18,-1.26,39.83,3.94,169,IT
2016,A2A,57.74,55.0975, ,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,,50,51.48,52.16,52.48,51.56,3928.66,3824296,0.782,2.76,0.070087859,0.137836246,52.99,0,1,1,10016000,3.22,3.5,37.89,2.89,169,IT
2017,A2A,7.06,54.665, ,52.285,52.99,59,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,,50,51.63,52.54,52.06,52.91,3953.73,4794362,0.728,8.24,0.076388889,0.12715666,59.71,1,1,1,9648000,3.75,19.26,40.82,3.9,169,IT
2018,A2A,59.5,53.14, ,53.725,51.39,54.86,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,,50,52.71,53.86,53.12,55.21,4830.94,4889192,0.837,10.22,0.07329427,0.113643363,61.49,1,1,1,10069000,4.23,12.04,36.53,3.75,169,IT
2013,AA,, , , ,,,,,,,,,,,,,,,,,,,,,,  ,,,,0.119121298,0.361880165,,0,,,2940700,8.51,-0.61,10.1,  ,203,GB
2014,AA,66.96,55.255,55.58538462,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,52.66,52.52,52.85,50.84,  ,,,143.23,0.227536827,0.398090153,9.58,0,0,0,1703900,12.51,0.61,197.32,  ,203,GB
2015,AA,58.82,54.88,53.58307692,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,1952.85,1981936,2.179,,0.198316283,0.378444331,18.37,0,0,0,1876800,17.52,0.99,172.69,0,203,GB
2016,AA,58.33,55.0975,53.7,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,1909.34,1790487,2.891,,0.192893401,0.351490236,24.31,0,0,0,1773000,3.87,-1.12,166.61,1.11,203,GB
2017,AA,59.15,54.665,54.02692308,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,1688.49,1486477,2.348,,0.171023965,0.334042553,33.97,0,0,1,1836000,15.24,1.62,156.1,3.28,203,GB
2018,AA,6.4,53.14,54.97230769,40.5475,51.39,54.86,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,56.44,50,0,53.86,53.12,55.21,1037.86,769618,2.348,,0.169265033,0.316996872,39.26,0,0,1,1796000,12.54,2.02,155.4,5.47,203,GB
2013,AALBERTS,56.78,54.495, ,52.14,53.21,59.21,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,,50,52.57,52.18,53.21,50.6,1717.99,2562694,1.17,13.94,0.097194156,0.094142272,22.37,0,0,0,1975983,7.74,0.77,24.31,2.12,213,NL
2014,AALBERTS,57.96,55.255, ,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,,50,52.66,52.52,52.85,50.84,2562.69,2713083,1.546,12.87,0.084671664,0.09328237,19.43,0,0,0,2424601,7.28,7.88,28.48,1.48,213,NL
2015,AALBERTS,55.71,54.88, ,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,2713.08,3515341,1.417,12.9,0.083476922,0.09198885,26.07,0,0,0,2727700,6.81,12.47,27.98,1.67,213,NL
2016,AALBERTS,56.91,55.0975, ,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,,50,51.48,52.16,52.48,51.56,3515.34,3408079,1.558,13.06,0.085899058,0.096903374,38.85,0,0,0,2845200,7.02,1.89,26.5,1.45,213,NL
2017,AALBERTS,55.18,54.665, ,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,,50,51.63,52.54,52.06,52.91,3442.36,4688043,1.454,13.3,0.100390234,0.107906459,53.04,0,0,1,2895700,7.59,6.82,21.14,1.67,213,NL
2018,AALBERTS,58.04,53.14, ,53.725,51.39,54.86,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,,50,52.71,53.86,53.12,55.21,4688.04,3212352,1.823,13.72,0.090366445,0.10261336,54.99,0,0,1,3132800,8.35,2.41,20.42,1.37,213,NL
2013,AAREAL BANK,63.17, ,55.48692308,52.14,53.21,,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,58.94,50,52.57,52.18,53.21,50.6,936.35,1722990,0.232,5.8,0.004688484,0.191064639,64.18,1,1,1,42871000,0.26,-11.37,45.7,0,102,DE
2014,AAREAL BANK,62.05, ,55.58538462,52.2175,53.67,,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,52.66,52.52,52.85,50.84,1727.78,1992647,0.474,5.3,0.00577894,0.230769231,65.48,1,1,1,49317000,0.69,17.4,44.39,0,102,DE
2015,AAREAL BANK,57.62, ,53.58307692,51.46,53.4,,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,1994.62,1744239,0.486,12.74,0.005975749,0.250608273,64.77,1,1,1,51709000,1.05,-0.16,39.14,2.25,102,DE
2016,AAREAL BANK,57.68, ,53.7,51.92,53.13,,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,1748.67,2140794,0.405,12.67,0.006726363,0.286995516,73.2,1,1,1,47574000,0.61,-9.86,35.67,4.11,102,DE
2017,AAREAL BANK,57.92, ,54.02692308,52.285,52.99,,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,2144.68,2258413,0.369,7.45,0.007558181,0.312252964,76.37,1,1,1,41809000,0.6,-9.24,35.73,4.61,102,DE
2018,AAREAL BANK,, , , ,,,,,,,,,,,,,,,,,,,,,,2261.59,1615546,0.362,7.08,0.006017017,0.214765101,,0,,,42546000,0.53,2.67,37.43,5.29,102,DE
2013,ABB LTD N,1.76,54.495, ,52.14,53.21,59.21,52.18,53.38,58.41,0.2,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,,50,52.57,52.18,53.21,50.6,43401.42,54019246,0.996,16.29,0.095472861,0.1051814,92.2,1,1,1,42590742,6.84,5.82,16.82,3.47,258,CH
2014,ABB LTD N,3.48,55.255, ,52.2175,53.67,61,52.59,53.76,0,0.16,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,,50,52.66,52.52,52.85,50.84,54350.15,47753138,1.312,15.48,0.084687969,0.101133923,94.49,1,1,1,44100798,5.64,-4.48,17.33,2.9,258,CH
2015,ABB LTD N,55.71,54.88, ,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,48933.64,39361588,1.109,14.72,0.077575799,0.09277481,89.33,1,1,1,41014866,5.32,-7.13,18.17,3.31,258,CH
2016,ABB LTD N,8.33,55.0975, ,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,,50,51.48,52.16,52.48,51.56,41572.8,45939423,0.995,12.84,0.082269747,0.097652682,89.57,1,1,1,39946300,5.04,-1.87,17.46,4.01,258,CH
2017,ABB LTD N,0.81,54.665, ,52.285,52.99,59,52.06,54.61,59.67,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,,50,51.63,52.54,52.06,52.91,47572.66,55860401,1.187,13.67,0.093447267,0.11414523,93.08,1,1,1,40919688,5.96,-0.46,17.73,3.45,258,CH
2018,ABB LTD N,10.57,53.14, ,53.725,51.39,54.86,51.04,55.27,60.98,0.38,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,,50,52.71,53.86,53.12,55.21,56632.03,39857037,1.415,15.03,0.058220878,0.091686195,93.59,1,1,1,42653170,5.59,10.07,19.84,2.91,258,CH
2013,ABENGOA,63.37,54.495, ,52.14,53.21,59.21,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,,50,52.57,52.18,53.21,50.6,209.85,1901037,0.59,11.7,0.033678257,0.090973796,68.57,1,1,1,19871753,3.46,16.55,60.26,3.29,74,ES
2014,ABENGOA,61.27,55.255, ,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,,50,52.66,52.52,52.85,50.84,204.36,1694463,0.54,7.68,0.034575095,0.114804323,68.27,1,1,1,23742986,3.48,,43.31,2.35,74,ES
2015,ABENGOA,10.36,54.88, ,51.46,53.4,60.38,52.34,53.4,0,0,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,178.85,383707,0.44,8.67,-0.029137811,-0.076154178,67.63,1,1,1,15042448,-2.69,-19.51,64.07,2.61,74,ES
2016,ABENGOA,4.13,55.0975, ,39.05,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,0,53.5,50.7,50.7,51.4,56.85,,50,0,52.16,52.48,51.56,34.22,375394,0.614,-1948.36,-0.236771739,-1.458012401,61.14,1,1,1,9298728,-57.36,-58.59,104.11,27.56,74,ES
2017,ABENGOA,7.63,54.665, ,52.285,52.99,59,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,,50,51.63,52.54,52.06,52.91,34,527257,1.097,,-0.070234204,-0.283960729,66.36,1,1,1,5982783,60.83,-2.01,62.71,0,74,ES
2018,ABENGOA,, , , ,,,,,,,,,,,,,,,,,,,,,,45.71,273044,0.728,,0.01915642,0.054306124,,0,,,3693070,-22.57,-11.96,127.99,0,74,ES
2013,ABERFORTH SMCOS.,, , , ,,,,,,,,,,,,,,,,,,,,,,665.54,1044442,0.873,24.5,0.336935587,0.968911179,,0,,,1170286,39.84,4762.74,,3.06,109,GB
2014,ABERFORTH SMCOS.,, , , ,,,,,,,,,,,,,,,,,,,,,,1044.44,1022096,0.919,34.65,-0.006645348,-1.301372213,,0,,,1141701,-0.59,-98.57,2.99,2.06,109,GB
2015,ABERFORTH SMCOS.,51.09, ,53.58307692,51.46,53.4,,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,1022.1,1133634,0.925,-0.69,0.093533812,0.888566766,44.86,0,0,0,1199331,9.64,2065.45,0.58,2.23,109,GB
2016,ABERFORTH SMCOS.,53, ,53.7,51.92,53.13,,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,1133.64,1046933,0.95,9.41,0.049657386,0.843354601,47.36,0,0,0,1256369,5.13,-41.4,2.85,2.11,109,GB
2017,ABERFORTH SMCOS.,50.85, ,54.02692308,52.285,52.99,,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,1046.93,1233169,0.862,5.11,0.181625656,0.950350114,45.6,0,0,0,1444438,19.48,273.17,0.6,2.39,109,GB
2018,ABERFORTH SMCOS.,50.78, ,54.97230769,53.725,51.39,,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,56.44,50,52.71,53.86,53.12,55.21,1233.17,1030804,0.859,18.27,-0.184276122,1.072277965,51.08,0,0,0,1171454,-16.44,,1.5,2.1,109,GB
2013,ABERTIS INFSTS.UNSP.ADR 2:1,53.41,54.495, ,52.14,53.21,59.21,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,,50,52.57,52.18,53.21,50.6,13395.13,,,, , ,60.67,1,1,1,,,,,5.26,64,ES
2014,ABERTIS INFSTS.UNSP.ADR 2:1,53.33,55.255, ,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,,50,52.66,52.52,52.85,50.84,18034.54,,,, , ,54.34,0,1,1,,,,,4.06,64,ES
2015,ABERTIS INFSTS.UNSP.ADR 2:1,55,54.88, ,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,17876.25,,,, , ,59.47,1,1,1,,,,,4.38,64,ES
2016,ABERTIS INFSTS.UNSP.ADR 2:1,56.25,55.0975, ,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,,50,51.48,52.16,52.48,51.56,15468.8,,,, , ,60.39,1,1,1,,,,,4.24,64,ES
2017,ABERTIS INFSTS.UNSP.ADR 2:1,56.35,54.665, ,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,,50,51.63,52.54,52.06,52.91,13944.56,,,, , ,64.71,1,1,1,,,,,8,64,ES
2018,ABERTIS INFSTS.UNSP.ADR 2:1,, , , ,,,,,,,,,,,,,,,,,,,,,,21550.69,,,, , ,,0,,,,,,,3.98,64,ES
2013,ABN AMRO BANK,, , , ,,,,,,,,,,,,,,,,,,,,,,  ,,,8.96,0.004067044,0.101417154,,0,,,371277000,0.58,-8.3,30.28,  ,102,NL
2014,ABN AMRO BANK,, , , ,,,,,,,,,,,,,,,,,,,,,,  ,,,8.57,0.003814769,0.090429448,,0,,,386393000,0.72,0.31,29.79,  ,102,NL
2015,ABN AMRO BANK,57.62, ,53.58307692,51.46,53.4,,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,  ,19429800,,7.63,0.006889602,0.160035736,69.62,1,1,1,390008000,,3.01,,  ,102,NL
2016,ABN AMRO BANK,57.68, ,53.7,51.92,53.13,,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,19429.79,19787000,0.272,11.51,0.005812154,0.144862472,73.62,1,1,1,394174000,,-5.81,,0,102,NL
2017,ABN AMRO BANK,2.88, ,44.78384615,52.285,52.99,,52.06,54.61,59.67,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,0,54.08,50,51.63,52.54,52.06,52.91,19998.49,25286000,0.295,9.82,0.00901449,0.21665443,76.55,1,1,1,392812000,,3.34,29.96,2.91,102,NL
2018,ABN AMRO BANK,, , , ,,,,,,,,,,,,,,,,,,,,,,25285.99,19307600,0.288,14.1,0.008061404,0.191006344,,0,,,380951000,0.99,-1.63,29.78,4.05,102,NL
2013,ACACIA MINING DEAD - DELIST.17/09/19,7.58,26.39, ,52.14,0,0,52.18,53.38,58.41,63.56,52.57,0,54.38,57.26,56.77,51.05,51.82,52.71,59.23,,50,52.57,52.18,53.21,50.6,1806.84,761939,0.773,2.21,0.060926464,0.147773208,61.31,1,1,1,1438242,-28.46,-6.65,6.42,2.48,119,GB
2014,ACACIA MINING DEAD - DELIST.17/09/19,17.34,26.5925, ,52.2175,0,0.02,52.59,53.76,59.29,0.16,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,,50,52.66,52.52,52.85,50.84,761.94,1047358,0.477,-42.95,0.060226729,0.173256474,58.9,0,1,1,1625906,3.7,-4.69,5.84,4.66,119,GB
2015,ACACIA MINING DEAD - DELIST.17/09/19,57.49,26.4375, ,51.46,0,0.01,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,1047.36,738154,0.588,4.28,0.027545863,0.076071415,65.09,1,1,1,1572178,-7.77,0.73,5.51,0.78,119,GB
2016,ACACIA MINING DEAD - DELIST.17/09/19,60.98,26.93, ,51.92,0,0,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,,50,51.48,52.16,52.48,51.56,738.15,1532900,0.424,-10.67,0.089383669,0.23073556,59.86,1,1,1,2022808,4.03,37.65,3.99,1.5,119,GB
2017,ACACIA MINING DEAD - DELIST.17/09/19,12.69,26.6675, ,52.285,0,0,52.06,54.61,59.67,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,,50,51.63,52.54,52.06,52.91,1532.9,814020,0.67,4.67,0.114416878,0.23930312,58.48,0,1,1,1207217,-33.38,-26.34,4.35,0.91,119,GB
2018,ACACIA MINING DEAD - DELIST.17/09/19,2.53,39.3225, ,53.725,51.39,54.86,51.04,0,60.98,0.38,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,,50,52.71,53.86,53.12,55.21,814.02,751687,0.667,-65.5,0.08718457,0.22532391,53.63,0,1,1,1289391,3.7,-13.56,2.59,3.27,119,GB
2013,ACCIONA,18.81,54.495, ,52.14,53.21,59.21,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,,50,52.57,52.18,53.21,50.6,3218.56,2385580,0.582,3.62,-0.018732803,-0.044599304,82.06,1,1,1,15730054,-8.65,-5.83,51.94,5.6,39,ES
2014,ACCIONA,61.27,55.255, ,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,,50,52.66,52.52,52.85,50.84,2391.44,3187948,0.579,-61.07,0.011579352,0.027024078,77.64,1,1,1,15166306,3.33,3.62,46.21,6.35,39,ES
2015,ACCIONA,58.11,54.88, ,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,3217.98,4502743,0.576,5.47,0.024479335,0.055557067,77.03,1,1,1,14850853,3.46,0.69,47.47,0,39,ES
