location;date;cases;deaths;tests;vaccinations
Albania;23.06.2020;52.0;1.0;328.0;
Albania;24.06.2020;67.0;2.0;347.0;
Albania;25.06.2020;78.0;2.0;344.0;
Albania;26.06.2020;77.0;2.0;402.0;
Albania;27.06.2020;61.0;2.0;355.0;
Albania;28.06.2020;72.0;2.0;374.0;
Albania;29.06.2020;64.0;3.0;371.0;
Albania;30.06.2020;69.0;4.0;371.0;
Albania;01.07.2020;45.0;3.0;269.0;
Albania;02.07.2020;82.0;4.0;368.0;
Albania;03.07.2020;90.0;3.0;362.0;
Albania;04.07.2020;67.0;2.0;376.0;
Albania;05.07.2020;74.0;2.0;392.0;
Albania;06.07.2020;71.0;3.0;459.0;
Albania;07.07.2020;74.0;2.0;409.0;
Albania;08.07.2020;68.0;2.0;397.0;
Albania;09.07.2020;82.0;0.0;401.0;
Albania;10.07.2020;90.0;2.0;420.0;
Albania;11.07.2020;93.0;4.0;420.0;
Albania;12.07.2020;83.0;4.0;420.0;
Albania;13.07.2020;117.0;2.0;585.0;
Albania;14.07.2020;96.0;2.0;451.0;
Albania;15.07.2020;85.0;4.0;361.0;
Albania;16.07.2020;99.0;3.0;425.0;
Albania;17.07.2020;55.0;3.0;431.0;
Albania;18.07.2020;102.0;4.0;501.0;
Albania;19.07.2020;82.0;1.0;331.0;
Albania;20.07.2020;81.0;1.0;267.0;
Albania;21.07.2020;119.0;4.0;482.0;
Albania;22.07.2020;68.0;3.0;496.0;
Albania;23.07.2020;108.0;3.0;477.0;
Albania;24.07.2020;104.0;5.0;564.0;
Albania;25.07.2020;67.0;6.0;304.0;
Albania;26.07.2020;126.0;4.0;504.0;
Albania;27.07.2020;117.0;6.0;500.0;
Albania;28.07.2020;117.0;4.0;507.0;
Albania;29.07.2020;108.0;2.0;502.0;
Albania;30.07.2020;92.0;4.0;507.0;
Albania;31.07.2020;79.0;3.0;500.0;
Albania;01.08.2020;120.0;4.0;510.0;
Albania;02.08.2020;123.0;5.0;474.0;
Albania;03.08.2020;101.0;6.0;474.0;
Albania;04.08.2020;130.0;4.0;546.0;
Albania;05.08.2020;139.0;6.0;561.0;
Albania;06.08.2020;127.0;6.0;531.0;
Albania;07.08.2020;135.0;1.0;586.0;
Albania;08.08.2020;124.0;4.0;500.0;
Albania;09.08.2020;136.0;6.0;561.0;
Albania;10.08.2020;125.0;1.0;506.0;
Albania;11.08.2020;140.0;5.0;603.0;
