Rank;Title;Previous Rank;Revenues ($M);Revenue Change;Profits ($M);Profit Change;Assets ($M);Market Value ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500;City;State;Latitude;Longitude;CEO Gender;Revenues per Employee ($M);Profits per Employee ($M);Change in Rank
368;EMCOR Group;360;7688;1.80%;227.2;24.90%;3966;4549;32000;Anthony J. Guzzi;President, Chief Executive Officer &  Director;Engineering &  Construction;Engineering, Construction;18;Norwalk;CT;41.117744;-73.4081575;Male;0.24025;0.0070999999999999995;-8
369;W.R. Berkley;354;7685;0.40%;549.1;-8.80%;24300;8836;7722;W. Robert Berkley Jr.;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);15;Greenwich;CT;41.0262417;-73.6281964;Male;0.9952084952084952;0.07110852110852112;-15
370;WESCO International;373;7679;4.70%;163.5;60.90%;4736;2920;9100;John J. Engel;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;20;Pittsburgh;PA;40.4406248;-79.9958864;Male;0.8438461538461538;0.01796703296703297;3
371;Coty;558;7650;75.90%;-422.2;-369.10%;22548;13723;22000;Camillo Pane;Chairman &  Chief Executive Officer;Household Products;Household and Personal Products;1;New York;NY;40.7127753;-74.0059728;Male;0.3477272727272727;-0.019190909090909092;187
372;WEC Energy Group;368;7649;2.40%;1203.7;28.20%;31591;19784;8129;Gale E. Klappa;Chairman &  Chief Executive Officer;Energy;Utilities: Gas and Electric;9;Milwaukee;WI;43.0389025;-87.9064736;Male;0.9409521466355025;0.14807479394759504;-4
373;Masco;372;7644;3.90%;533;8.60%;5488;12590;26000;Keith J. Allman;President, Chief Executive Officer &  Director;Household Products;Home Equipment, Furnishings;24;Livonia;MI;42.36837;-83.3527097;Male;0.294;0.0205;-1
374;DXC Technology;NA;7607;7.10%;-123;-149.00%;8663;28720;60000;J. Michael Lawrie;Chairman, President &  Chief Executive Officer;Technology;Information Technology Services;1;Tysons;VA;38.9187222;-77.2310925;Male;0.12678333333333333;-0.00205;NA
375;Auto-Owners Insurance;398;7604;12.20%;645.7;-8.60%;23694;NA;5227;Jeffrey S. Tagsold;Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Mutual);16;Lansing;MI;42.732535;-84.5555347;Male;1.4547541610866654;0.12353166252152287;23
376;Jones Financial (Edward Jones);403;7597;14.60%;872;16.90%;17176;NA;45000;James D. Weddle;Chief Executive Officer &  Managing Partner;Financials;Securities;6;Des Peres;MO;38.59722;-90.448126;Male;0.16882222222222223;0.01937777777777778;27
377;Liberty Media;491;7594;43.90%;1354;99.10%;41996;13816;4393;Gregory B. Maffei;President, Chief Executive Officer &  Director;Media;Entertainment;2;Englewood;CO;39.6477653;-104.9877597;Male;1.728659230594127;0.3082176189392215;114
378;Erie Insurance Group;382;7535;7.40%;857.5;15.60%;20670;NA;5260;Timothy G. NeCastro;Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);15;Erie;PA;42.1292241;-80.085059;Male;1.432509505703422;0.16302281368821292;4
