Rank;Title;Previous Rank;Revenues ($M);Revenue Change;Profits ($M);Profit Change;Assets ($M);Market Value ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500;City;State;Latitude;Longitude;CEO Gender;Revenues per Employee ($M);Profits per Employee ($M);Change in Rank
427;Avery Dennison;430;6614;8.70%;281.8;-12.10%;5137;9361;30000;Mitchell R. Butier;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;24;Glendale;CA;34.1425078;-118.255075;Male;0.22046666666666667;0.009393333333333333;3
428;MasTec;502;6607;28.70%;347.2;164.50%;4067;3874;17300;Jose R. Mas;Chief Executive Officer;Engineering &  Construction;Engineering, Construction;1;Coral Gables;FL;25.72149;-80.2683838;Male;0.38190751445086707;0.02006936416184971;74
429;CMS Energy;419;6583;2.90%;460;-16.50%;23050;12793;7887;Patricia K. Poppe;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;24;Jackson;MI;42.245869;-84.4013462;Female;0.8346646380119184;0.05832382401420058;-10
430;HD Supply Holdings;364;6534;-13.20%;970;394.90%;4318;7040;11000;Joseph J. DeAngelo;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;6;Atlanta;GA;33.7489954;-84.3879824;Male;0.594;0.08818181818181818;-66
431;Raymond James Financial;469;6525;18.20%;636.2;20.20%;34884;13019;12700;Paul C. Reilly;Chairman &  Chief Executive Officer;Financials;Securities;3;St. Petersburg;FL;27.7676008;-82.6402915;Male;0.5137795275590551;0.05009448818897638;38
432;NCR;409;6516;-0.40%;232;-14.10%;7654;3737;34000;Michael D. Hayford;Chief Executive Officer &  Director;Technology;Computers, Office Equipment;21;Atlanta;GA;33.7489954;-84.3879824;Male;0.19164705882352942;0.006823529411764706;-23
433;Hanesbrands;432;6478;6.90%;61.9;-88.50%;6895;6638;67200;Gerald W. Evans Jr.;Chairman &  Chief Executive Officer;Apparel;Apparel;4;Winston-Salem;NC;36.0998596;-80.244216;Male;0.09639880952380953;9.211309523809524e-4;-1
434;Asbury Automotive Group;410;6457;-1.10%;139.1;-16.80%;2357;1412;8000;David W. Hult;President, Chief Executive Officer &  Director;Retailing;Automotive Retailing, Services;12;Duluth;GA;34.0028786;-84.1446376;Male;0.807125;0.0173875;-24
435;Citizens Financial Group;451;6454;12.00%;1652;58.10%;152336;20474;17594;Bruce W. Van Saun;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;3;Providence;RI;41.8239891;-71.4128343;Male;0.366829601000341;0.0938956462430374;16
436;Packaging Corp. of America;450;6445;11.50%;668.6;48.70%;6198;10633;14600;Mark W. Kowlzan;Chairman &  Chief Executive Officer;Materials;Packaging, Containers;4;Lake Forest;IL;42.2586342;-87.840625;Male;0.44143835616438354;0.04579452054794521;14
437;Alleghany;428;6425;4.80%;90.1;-80.30%;25384;9460;4402;Weston M. Hicks;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);4;New York;NY;40.7127753;-74.0059728;Male;1.459563834620627;0.020467969104952292;-9
438;Apache;488;6423;20.00%;1304;-;21922;14678;3356;John J. Christmann IV;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;15;Houston;TX;29.7604267;-95.3698028;Male;1.91388557806913;0.38855780691299163;50
439;Dillards;417;6423;0.10%;221.3;30.80%;3673;2289;31400;William T. Dillard II;Chairman &  Chief Executive Officer;Retailing;General Merchandisers;24;Little Rock;AR;34.7464809;-92.2895948;Male;0.20455414012738854;0.007047770700636943;-22
440;Assurant;361;6415;-14.80%;519.6;-8.10%;31843;4803;14175;Alan B. Colberg;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);14;New York;NY;40.7127753;-74.0059728;Male;0.4525573192239859;0.03665608465608466;-79
441;Franklin Resources;405;6392;-3.40%;1696.7;-1.70%;17534;19133;9386;Gregory E. Johnson;Chairman &  Chief Executive Officer;Financials;Securities;13;San Mateo;CA;37.5629917;-122.3255254;Male;0.6810142765821436;0.18076923076923077;-36
442;Owens Corning;458;6384;12.50%;289;-26.50%;8632;8982;17000;Michael H. Thaman;Chairman, President &  Chief Executive Officer;Materials;Building Materials, Glass;24;Toledo;OH;41.6528052;-83.5378674;Male;0.3755294117647059;0.017;16
443;Motorola Solutions;433;6380;5.70%;-155;-127.70%;8208;17027;15000;Gregory Q. Brown;Chairman &  Chief Executive Officer;Technology;Network and Other Communications Equipment;24;Chicago;IL;41.8781136;-87.6297982;Male;0.42533333333333334;-0.010333333333333333;-10
444;NVR;446;6322;8.40%;537.5;26.40%;2989;10262;5200;Paul C. Saville;President, Chief Executive Officer &  Director;Engineering &  Construction;Homebuilders;9;Reston;VA;38.9586307;-77.3570028;Male;1.2157692307692307;0.10336538461538461;2
445;Rockwell Automation;442;6311;7.30%;825.7;13.20%;7162;22260;22000;Blake D. Moret;Chairman, President &  Chief Executive Officer;Industrials;Electronics, Electrical Equip.;24;Milwaukee;WI;43.0389025;-87.9064736;Male;0.2868636363636364;0.03753181818181819;-3
446;TreeHouse Foods;427;6307;2.10%;-286.2;-;5779;2159;13489;Steven Oakland;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;2;Oak Brook;IL;41.8397865;-87.9535534;Male;0.46756616502335235;-0.021217288160723553;-19
447;Wynn Resorts;548;6306;41.20%;747.2;208.80%;12682;19778;25200;Matthew O. Maddox;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;5;Las Vegas;NV;36.1699412;-115.1398296;Male;0.25023809523809526;0.029650793650793653;101
448;Olin;467;6268;12.90%;549.5;-;9218;5081;6400;John E. Fischer;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;5;Clayton;MO;38.6425518;-90.3237263;Male;0.979375;0.085859375;19
449;American Axle & Manufacturing;593;6266;58.70%;337.1;40.00%;7883;1699;25000;David C. Dauch;Chairman &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;4;Detroit;MI;42.331427;-83.0457538;Male;0.25064;0.013484000000000001;144
450;Old Republic International;439;6263;6.10%;560.5;20.00%;19404;5778;8700;Aldo C. Zucaro;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);7;Chicago;IL;41.8781136;-87.6297982;Male;0.7198850574712644;0.06442528735632184;-11
451;Chemours;482;6183;14.50%;746;10557.10%;7293;8840;7000;Mark P. Vergnano;President, Chief Executive Officer &  Director;Chemicals;Chemicals;2;Wilmington;DE;39.7390721;-75.5397878;Male;0.8832857142857143;0.10657142857142857;31
452;iHeartMedia;426;6178;-1.50%;-704.4;-;12257;39;18700;Robert W. Pittman;Chairman &  Chief Executive Officer;Media;Entertainment;18;San Antonio;TX;29.4241219;-98.4936282;Male;0.33037433155080215;-0.03766844919786096;-26
453;Ameren;431;6177;1.70%;523;-19.90%;25945;13740;8615;Warner L. Baxter;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;21;St. Louis;MO;38.6270025;-90.1994042;Male;0.7170052234474753;0.06070806732443413;-22
454;Arthur J. Gallagher;462;6160;10.10%;463.1;11.80%;12897;12512;26783;J. Patrick Gallagher Jr.;Chairman, President &  Chief Executive Officer;Financials;Diversified Financials;3;Rolling Meadows;IL;42.0841936;-88.0131275;Male;0.2299966396594855;0.017290818802972036;8
455;Celanese;484;6140;13.90%;843;-6.30%;9538;13611;7592;Mark C. Rohr;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;13;Irving;TX;32.8140177;-96.9488945;Male;0.8087460484720759;0.11103793466807166;29
456;Sealed Air;397;6131;-9.60%;814.9;67.50%;5280;7162;15000;Edward L. Doheny II;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;21;Charlotte;NC;35.2270869;-80.8431267;Male;0.40873333333333334;0.05432666666666666;-59
457;UGI;457;6121;7.70%;436.6;19.70%;11582;7685;13000;John L. Walsh;President, Chief Executive Officer &  Director;Energy;Energy;14;King of Prussia;PA;40.1012856;-75.3835525;Male;0.47084615384615386;0.033584615384615386;0
458;Realogy Holdings;448;6114;5.20%;431;102.30%;7337;3568;11800;Ryan M. Schneider;President, Chief Executive Officer &  Director;Financials;Real estate;8;Madison;NJ;40.7598227;-74.417097;Male;0.518135593220339;0.03652542372881356;-10
459;Burlington Stores;463;6110;9.30%;384.9;78.30%;2813;9018;40000;Thomas A. Kingsbury;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;3;Burlington;NJ;40.071222;-74.8648873;Male;0.15275;0.009622499999999999;4
460;Regions Financial;436;6093;2.10%;1263;8.60%;124294;20861;21714;O.B. Grayson Hall Jr.;Chairman &  Chief Executive Officer;Financials;Commercial Banks;20;Birmingham;AL;33.5206608;-86.80249;Male;0.2806023763470572;0.05816523901630285;-24
461;AK Steel Holding;441;6081;3.40%;06. Feb;-;4296;1428;9200;Roger K. Newport;Chairman &  Chief Executive Officer;Materials;Metals;18;Beckett Ridge;OH;39.3321262;-84.4172666;Male;0.6609782608695652;6.739130434782609e-4;-20
462;Securian Financial Group;532;6067;27.00%;418.9;68.70%;51232;NA;5000;Christopher M. Hilger;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);1;St Paul;MN;44.9537029;-93.0899578;Male;Jan 34;0.08378;70
463;S& P Global;459;6063;7.10%;1496;-29.00%;9425;47643;20400;Douglas L. Peterson;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;24;New York;NY;40.7127753;-74.0059728;Male;0.29720588235294115;0.07333333333333333;-4
464;Markel;460;6062;8.00%;395.3;-13.30%;32805;16264;15600;Thomas S. Gayner/Richard R. Whitt III;Co-Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);3;Glen Allen;VA;37.665978;-77.5063739;Male;0.3885897435897436;0.025339743589743592;-4
465;TravelCenters of America;470;6052;9.80%;09. Mrz;-;1618;144;19611;Andrew J. Rebholz;Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;11;Westlake;OH;41.4553232;-81.9179173;Male;0.3086023150272806;4.7422364999235125e-4;5
466;Conduent;NA;6022;-;181;-;7548;3923;90000;Ashok Vemuri;Chairman &  Chief Executive Officer;Business Services;Diversified Outsourcing Services;1;Florham Park;NJ;40.787878;-74.3882072;Male;0.06691111111111112;0.002011111111111111;NA
467;M& T Bank Corp.;455;6019;5.20%;1408.3;7.10%;118594;27379;16354;Rene F. Jones;Chairman &  Chief Executive Officer;Financials;Commercial Banks;3;Buffalo;NY;42.8864468;-78.8783689;Male;0.36804451510333863;0.08611348905466552;-12
468;Clorox;453;5973;3.70%;701;8.20%;4573;17225;8100;Benno O. Dorer;Chairman &  Chief Executive Officer;Household Products;Household and Personal Products;19;Oakland;CA;37.8043637;-122.2711137;Male;0.7374074074074074;0.08654320987654321;-15
469;AmTrust Financial Services;475;5959;9.30%;-348.9;-184.90%;25219;2416;9300;Barry D. Zyskind;Chairman, President &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);2;New York;NY;40.7127753;-74.0059728;Male;0.640752688172043;-0.03751612903225806;6
470;KKR;656;5930;71.40%;1018.3;229.20%;45835;9882;1184;Henry R. Kravis/George R. Roberts;Co-Chairman &  Co-Chief Executive Officer;Financials;Securities;6;New York;NY;40.7127753;-74.0059728;Male;5.008445945945946;0.8600506756756756;186
471;Ulta Beauty;524;5885;21.20%;555.2;35.50%;2909;12459;24200;Mary N. Dillon;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;1;Bolingbrook;IL;41.6986416;-88.0683955;Female;0.2431818181818182;0.02294214876033058;53
472;Yum Brands;422;5878;-7.70%;1340;-17.20%;5311;28307;60000;Greg Creed;Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Food Services;20;Louisville;KY;38.2526647;-85.7584557;Male;0.09796666666666666;0.022333333333333334;-50
473;Regeneron Pharmaceuticals;523;5872;20.80%;1198.5;33.80%;8764;37087;6200;Leonard S. Schleifer;President, Chief Executive Officer &  Director;Health Care;Pharmaceuticals;1;Tarrytown;NY;41.0762077;-73.8587461;Male;0.9470967741935484;0.19330645161290322;50
474;Windstream Holdings;485;5853;8.60%;-2116.6;-;11084;289;12979;Anthony W. Thomas;President, Chief Executive Officer &  Director;Telecommunications;Telecommunications;6;Little Rock;AR;34.7464809;-92.2895948;Male;0.4509592418522228;-0.16307881963171275;11
475;Magellan Health;526;5838;20.70%;110.2;41.50%;2957;2605;10700;Barry M. Smith;Chairman &  Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;1;Scottsdale;AZ;33.4941704;-111.9260519;Male;0.545607476635514;0.010299065420560747;51
476;Western & Southern Financial;483;5836;8.10%;310.4;28.70%;46395;NA;2226;John F. Barrett;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);14;Cincinnati;OH;39.1031182;-84.5120196;Male;2.6217430368373766;0.13944294699011678;7
477;Intercontinental Exchange;437;5834;-2.10%;2514;76.80%;78264;42132;4952;Jeffrey C. Sprecher;Chairman &  Chief Executive Officer;Financials;Securities;2;Atlanta;GA;33.7489954;-84.3879824;Male;1.1781098546042004;0.5076736672051696;-40
478;Ingredion;456;5832;2.30%;519;7.00%;6080;9313;11000;James P. Zallie;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Production;7;Westchester;IL;41.8498339;-87.8806738;Male;0.5301818181818182;0.04718181818181818;-22
479;Wyndham Destinations;461;5821;4.00%;871;42.60%;10403;11411;39200;Michael D. Brown;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;5;Parsippany-Troy Hills;NJ;40.8652865;-74.4173877;Male;0.14849489795918366;0.02221938775510204;-18
480;Toll Brothers;497;5815;12.50%;535.5;40.10%;9445;6566;4500;Douglas C. Yearley Jr.;Chairman &  Chief Executive Officer;Engineering &  Construction;Homebuilders;6;Horsham;PA;40.1784422;-75.1285061;Male;1.2922222222222222;0.119;17
481;Seaboard;486;5809;8.00%;247;-20.80%;5161;4992;11800;Steven J. Bresky;Chairman, President &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Production;8;Merriam;KS;39.0236165;-94.6935701;Male;0.4922881355932203;0.020932203389830508;5
482;Booz Allen Hamilton;481;5804;7.40%;252.5;-14.10%;3373;5617;23300;Horacio D. Rozanski;President, Chief Executive Officer &  Director;Technology;Information Technology Services;8;McLean;VA;38.9338676;-77.1772604;Male;0.24909871244635193;0.010836909871244636;-1
483;First American Financial;464;5772;3.50%;423;23.30%;9573;6511;18705;Dennis J. Gilmore;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);4;Santa Ana;CA;33.7454725;-117.867653;Male;0.3085805934242181;0.022614274258219727;-19
484;Cincinnati Financial;476;5732;5.20%;1045;76.90%;21843;12185;4925;Steven J. Johnston;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);4;Fairfield;OH;39.3454673;-84.5603187;Male;1.1638578680203047;0.21218274111675126;-8
485;Avon Products;444;5716;-2.30%;22;-;3698;1251;25000;Jan Zijderveld;Chairman &  Chief Executive Officer;Household Products;Household and Personal Products;24;Rye;NY;40.9806535;-73.6837399;Male;0.22864;8.8e-4;-41
486;Northern Trust;501;5716;11.10%;1199;16.10%;138591;23264;18100;Michael G. O'Grady;President, Chief Executive Officer &  Director;Financials;Commercial Banks;7;Chicago;IL;41.8781136;-87.6297982;Male;0.3158011049723757;0.06624309392265193;15
487;Fiserv;471;5696;3.50%;1246;34.00%;10289;29466;24000;Jeffery W. Yabuki;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;8;Brookfield;WI;43.0605671;-88.1064787;Male;0.23733333333333334;0.051916666666666667;-16
488;Harley-Davidson;435;5647;-5.80%;521.8;-24.60%;9973;7198;5800;Matthew S. Levatich;President, Chief Executive Officer &  Director;Transportation;Transportation Equipment;17;Milwaukee;WI;43.0389025;-87.9064736;Male;0.9736206896551725;0.0899655172413793;-53
489;Cheniere Energy;NA;5601;336.50%;-393;-;27906;12703;1230;Jack A. Fusco;President, Chief Executive Officer &  Director;Energy;Energy;1;Houston;TX;29.7604267;-95.3698028;Male;4.553658536585366;-0.3195121951219512;NA
490;Patterson;466;5593;0.70%;170.9;-8.70%;3508;2104;7500;Mark S. Walchirk;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Health Care;2;St Paul;MN;44.9537029;-93.0899578;Male;0.7457333333333334;0.022786666666666667;-24
491;Peabody Energy;533;5579;18.30%;NA;-;8181;4649;7100;Glenn L. Kellow;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;13;St. Louis;MO;38.6270025;-90.1994042;Male;0.785774647887324;NA;42
492;ON Semiconductor;598;5543;41.90%;810.7;345.20%;7195;10406;34000;Keith D. Jackson;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;1;Phoenix;AZ;33.4483771;-112.0740373;Male;0.1630294117647059;0.023844117647058825;106
493;Simon Property Group;477;5539;1.90%;1948;5.90%;32258;47861;4150;David E. Simon;Chairman &  Chief Executive Officer;Financials;Real estate;5;Indianapolis;IN;39.768403;-86.158068;Male;1.334698795180723;0.4693975903614458;-16
494;Western Union;478;5524;1.90%;-557.1;-320.00%;9231;8857;11500;Hikmet Ersek;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;12;Englewood;CO;39.6477653;-104.9877597;Male;0.48034782608695653;-0.04844347826086957;-16
495;NetApp;468;5519;-0.50%;509;122.30%;9493;16528;10100;George Kurian;President, Chief Executive Officer &  Director;Technology;Computers, Office Equipment;7;Sunnyvale;CA;37.36883;-122.0363496;Male;0.5464356435643565;0.0503960396039604;-27
496;Polaris Industries;537;5505;19.80%;172.5;-19.00%;3090;7224;11000;Scott W. Wine;Chairman &  Chief Executive Officer;Transportation;Transportation Equipment;1;Medina;MN;45.0352411;-93.5824586;Male;0.5004545454545455;0.015681818181818182;41
497;Pioneer Natural Resources;606;5455;42.70%;833;-;17003;29254;3836;Timothy L. Dove;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;2;Irving;TX;32.8140177;-96.9488945;Male;1.4220542231491136;0.21715328467153286;109
498;ABM Industries;500;5454;6.00%;03. Aug;-93.40%;3813;2200;140000;Scott B. Salmirs;President, Chief Executive Officer &  Director;Business Services;Diversified Outsourcing Services;3;New York;NY;40.7127753;-74.0059728;Male;0.03895714285714286;2.714285714285714e-5;2
499;Vistra Energy;499;5430;5.20%;-254;-;14600;8925;4150;Curtis A. Morgan;President, Chief Executive Officer &  Director;Energy;Energy;2;Irving;TX;32.8140177;-96.9488945;Male;1.308433734939759;-0.061204819277108434;0
500;Cintas;520;5429;10.70%;480.7;-30.70%;6844;18165;42000;Scott D. Farmer;Chairman &  Chief Executive Officer;Business Services;Diversified Outsourcing Services;1;Cincinnati;OH;39.1031182;-84.5120196;Male;0.12926190476190477;0.011445238095238095;20
