Title,Year,Genres,Duration,Rating,MPA,Votes
42. Tammy,2014,"['Road Trip', 'Comedy', 'Romance']",1h 37m,4.9,R,56K
43. Annabelle,2014,"['Horror', 'Mystery', 'Thriller']",1h 39m,5.5,R,181K
44. The Other Woman,2014,"['Romantic Comedy', 'Comedy', 'Romance']",1h 49m,6.0,PG-13,155K
45. Penguins of Madagascar,2014,"['Alien Invasion', 'Animal Adventure', 'Computer Animation', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",1h 32m,6.6,PG,107K
46. Let's Be Cops,2014,"['Buddy Cop', 'Action', 'Comedy', 'Crime']",1h 44m,6.4,R,141K
47. The Monuments Men,2014,"['Period Drama', 'Comedy', 'Drama', 'War']",1h 58m,6.1,PG-13,145K
48. Paddington,2014,"['Animal Adventure', 'Adventure', 'Comedy', 'Family', 'Fantasy']",1h 35m,7.3,PG,141K
49. Hercules,2014,"['Sword & Sandal', 'Action', 'Adventure', 'Fantasy']",1h 38m,6.0,PG-13,167K
50. The Purge: Anarchy,2014,"['Dystopian Sci-Fi', 'Action', 'Horror', 'Sci-Fi', 'Thriller']",1h 43m,6.4,R,166K
"51. Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"['Slapstick', 'Comedy', 'Drama', 'Family', 'Fantasy']",1h 21m,6.2,PG,47K
52. Think Like a Man Too,2014,"['Romantic Comedy', 'Comedy', 'Romance']",1h 46m,5.7,PG-13,23K
53. Exodus: Gods and Kings,2014,"['Action Epic', 'Epic', 'Fantasy Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama', 'Fantasy']",2h 30m,6.0,PG-13,182K
54. The Nut Job,2014,"['Computer Animation', 'Parody', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family']",1h 25m,5.7,PG,31K
55. God's Not Dead,2014,"['Drama', 'Romance']",1h 53m,4.6,PG,46K
56. Son of God,2014,"['Biography', 'Drama', 'History']",2h 18m,5.7,PG-13,20K
57. The Grand Budapest Hotel,2014,"['Caper', 'Quirky Comedy', 'Adventure', 'Comedy', 'Crime']",1h 39m,8.1,R,912K
58. Planes: Fire & Rescue,2014,"['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",1h 23m,5.9,PG,20K
59. RoboCop,2014,"['Cyberpunk', 'Superhero', 'Action', 'Crime', 'Sci-Fi', 'Thriller']",1h 57m,6.1,PG-13,243K
60. Dracula Untold,2014,"['Dark Fantasy', 'Supernatural Horror', 'Vampire Horror', 'Action', 'Drama', 'Fantasy', 'Horror']",1h 32m,6.2,PG-13,214K
61. Horrible Bosses 2,2014,"['Comedy', 'Crime']",1h 48m,6.3,R,188K
62. The Hundred-Foot Journey,2014,"['Comedy', 'Drama']",2h 2m,7.3,PG,89K
63. No Good Deed,2014,"['Crime', 'Drama', 'Horror', 'Thriller']",1h 24m,5.6,PG-13,22K
64. Selma,2014,"['Docudrama', 'Period Drama', 'Biography', 'Drama', 'History']",2h 8m,7.5,PG-13,97K
65. Muppets Most Wanted,2014,"['Animal Adventure', 'Caper', 'Globetrotting Adventure', 'Quirky Comedy', 'Satire', 'Urban Adventure', 'Adventure', 'Comedy', 'Crime', 'Family']",1h 47m,6.4,PG,38K
66. Ouija,2014,"['Slasher Horror', 'Supernatural Horror', 'Teen Horror', 'Horror', 'Mystery', 'Thriller']",1h 29m,4.5,PG-13,59K
67. The Boxtrolls,2014,"['Stop Motion Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1h 36m,6.8,PG,63K
68. Jack Ryan: Shadow Recruit,2014,"['Conspiracy Thriller', 'Spy', 'Action', 'Drama', 'Thriller']",1h 45m,6.2,PG-13,140K
69. If I Stay,2014,"['Drama', 'Fantasy', 'Music', 'Romance', 'Sci-Fi']",1h 47m,6.7,PG-13,129K
70. The Book of Life,2014,"['Computer Animation', 'Jukebox Musical', 'Quest', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",1h 35m,7.2,PG,80K
71. About Last Night,2014,"['Comedy', 'Romance']",1h 40m,6.0,R,25K
72. Into the Storm,2014,"['Disaster', 'Action', 'Adventure', 'Drama', 'Thriller']",1h 29m,5.8,PG-13,73K
73. The Judge,2014,"['Legal Drama', 'Crime', 'Drama', 'Mystery', 'Thriller']",2h 21m,7.4,R,211K
74. Jersey Boys,2014,"['Period Drama', 'Biography', 'Drama', 'Music']",2h 14m,6.8,R,37K
75. Blended,2014,"['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Romance']",1h 57m,6.5,PG-13,149K
76. The Giver,2014,"['Dystopian Sci-Fi', 'Teen Romance', 'Drama', 'Romance', 'Sci-Fi', 'Thriller']",1h 37m,6.4,PG-13,127K
77. St. Vincent,2014,"['Comedy', 'Drama']",1h 42m,7.2,PG-13,110K
78. Need for Speed,2014,"['Car Action', 'Road Trip', 'Action', 'Crime', 'Thriller']",2h 12m,6.4,PG-13,181K
79. A Million Ways to Die in the West,2014,"['Parody', 'Slapstick', 'Comedy', 'Western']",1h 56m,6.1,R,203K
80. John Wick,2014,"['Gun Fu', 'One-Person Army Action', 'Action', 'Crime', 'Thriller']",1h 41m,7.4,R,765K
81. Birdman or (The Unexpected Virtue of Ignorance),2014,"['Dark Comedy', 'Satire', 'Showbiz Drama', 'Workplace Drama', 'Comedy', 'Drama']",1h 59m,7.7,R,677K
82. Dolphin Tale 2,2014,"['Animal Adventure', 'Docudrama', 'Drama', 'Family']",1h 47m,6.4,PG,9.9K
83. The Expendables 3,2014,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",2h 6m,6.1,PG-13,200K
84. Earth to Echo,2014,"['Alien Invasion', 'Adventure', 'Family', 'Sci-Fi']",1h 31m,5.7,PG,20K
85. Sex Tape,2014,"['Raunchy Comedy', 'Comedy', 'Romance']",1h 34m,5.1,R,120K
86. Wild,2014,"['Docudrama', 'Mountain Adventure', 'Period Drama', 'Road Trip', 'Adventure', 'Biography', 'Drama']",1h 55m,7.1,R,142K
87. Million Dollar Arm,2014,"['Baseball', 'Biography', 'Drama', 'Family', 'Sport']",2h 4m,7.0,PG,48K
88. The Theory of Everything,2014,"['Docudrama', 'Medical Drama', 'Biography', 'Drama', 'Romance']",2h 3m,7.7,PG-13,491K
89. This Is Where I Leave You,2014,"['Comedy', 'Drama']",1h 43m,6.6,R,91K
90. The Gambler,2014,"['Crime', 'Drama', 'Thriller']",1h 51m,6.0,R,75K
91. Unfriended,2014,"['Found Footage Horror', 'Slasher Horror', 'Supernatural Horror', 'Teen Horror', 'Horror', 'Mystery', 'Thriller']",1h 23m,5.6,R,84K
92. Paranormal Activity: The Marked Ones,2014,"['Found Footage Horror', 'Horror', 'Mystery']",1h 24m,5.1,R,46K
93. Nightcrawler,2014,"['Psychological Drama', 'Psychological Thriller', 'Crime', 'Drama', 'Thriller']",1h 57m,7.8,R,626K
94. Chef,2014,"['Road Trip', 'Workplace Drama', 'Adventure', 'Comedy', 'Drama']",1h 54m,7.3,R,239K
95. Get on Up,2014,"['Docudrama', 'Biography', 'Drama', 'Music']",2h 19m,6.9,PG-13,26K
96. 3 Days to Kill,2014,"['Dark Comedy', 'Spy', 'Action', 'Drama', 'Thriller']",1h 57m,6.2,PG-13,99K
97. Deliver Us from Evil,2014,"['True Crime', 'Crime', 'Horror', 'Mystery', 'Thriller']",1h 58m,6.2,R,88K
98. When the Game Stands Tall,2014,"['Football', 'Biography', 'Drama', 'Family', 'Sport']",1h 55m,6.6,PG,17K
