Total Comp,Top 20,Wide Industry,Company,CEO,City of Birth,State of Birth,Age,Undergrad,UG Degree,UG Date,AgeOfUnder,Graduate,Grad Degree,MBA?,MasterPhd?,G_date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,other,St_gains,Comp for 5 yrs,Stock owned,Sales,Profits,Return over 5 yrs,Industry,Industry Code
1108750,FALSE,Financial,First of America Ban,Mr. Daniel R Smith,Kalamazoo,MI,60,Western Michiga,BBA,55,21,,none,0,0,,,38,9,625000,285000,198748,,4633330,0.069,1803,247.4,19,Financial services-regional banks,1
1107840,FALSE,ComputersComm,Avnet,Mr. LeonMachiz,Brooklyn,NY,69,,,,,,none,0,0,,,42,5,1000000,,107839,,5719580,0.153,2906,70.4,13,Computerscommunications-peripherals,16
1104830,FALSE,Health,Beverly Enterprises,Mr. David R Banks,Arcadia,WI,57,U of Arkansas,BA,59,22,,none,0,0,,,22,5,519231,235000,350595,,4300810,0.154,2871,60.3,8,Health-health care services,3
1104470,FALSE,Consumer,Cooper TireRubber,Mr. Ivan W Gorr,Toledo,OH,64,U of Toledo,BS,51,21,,none,0,0,,,22,5,389780,427086,49024,238578,3781580,0.642,1194,102.2,33,Consumer durables-automotive parts,18
1101620,FALSE,Food,StopShop Companies,Mr. Lewis G Schaeneman Jr,Springfield,MA,63,Cornell,BS,52,21,Harvard,MBA,1,1,56,25,28,5,520000,572972,8650,,3485360,0.189,3568,63.7,32,Food distributors-supermarketsconvenience,2
1101570,FALSE,Chemicals,Ethyl,Mr. Bruce C Gottwald,Richmond,VA,60,VMI,BS,54,20,,none,0,0,,,38,2,770000,265000,38500,28066,3116090,7.313,1938,90,8,Chemicals-specialized,15
1099010,FALSE,Aerospacedefense,GenCorp,Mr. A WilliamReynolds,Columbus,OH,60,Harvard,AB,55,21,Stanford U,MBA,1,1,57,23,10,9,650833,330000,118175,,4803290,0.098,1905,43,1,Aerospacedefense,11
1095890,FALSE,Consumer,NIKE,Mr. Philip H Knight,Portland,OR,56,U of Oregon,BA,59,21,Stanford U,MBA,1,1,62,24,30,30,750000,300000,45889,,4058830,33.099,3769,306.5,27,Consumer nondurables-textilesapparel,18
1095000,FALSE,Food,Safeway,Mr. Steven A Burd,Valley City,ND,44,Carroll C,BS,71,21,U of Wisc Milwa,MA,0,1,73,23,2,1,550000,545000,,,,0.056,15215,123.3,19,Food distributors-supermarketsconvenience,2
1093150,FALSE,Food,Dr Pepper/Seven-Up,Mr. John R Albers,Minneapolis,MN,62,U of Minnesota,BA,57,25,,none,0,0,,,23,8,668320,424829,,,3455130,3.69,707,94.1,36,Fooddrinktobacco-beverages,2
1090460,FALSE,Capital goods,Ingersoll-Rand,Mr. James E Perrella,Gloversville,NY,58,Purdue U,MSI,61,25,,none,0,0,,,32,1,433333,420000,237129,,,0.076,4021,163.5,18,Capital goods-heavy equipment,14
1088150,FALSE,Aerospacedefense,McDonnell Douglas,Mr. John F McDonnell,Baltimore,MD,56,Princeton,BS,60,22,Princeton,MS,0,1,62,24,32,6,559477,495100,33569,,4452230,3.326,14487,396,7,Aerospacedefense,11
1086720,FALSE,Financial,National City,Mr. Edward B Brandon,Davenport,IA,62,Northwestern U,BS,53,21,U of Pennsylvan,MBA,1,1,56,24,38,7,630000,418560,38161,,5994850,0.092,2702,404,15,Financial services-regional banks,1
1086620,FALSE,Insurance,Continental Corp,Mr. John P Mascotte,Fort Wayne,IN,55,St Joseph's IND,BA,61,22,U of Virginia,LLB,0,1,64,25,13,11,696538,332500,57583,,4566140,0.031,5174,208.4,,Insurance-propertycasualty,4
1084900,FALSE,Utility,Florida Progress,Dr. Jack B Critchfield,Rockwood,PA,61,Slippery Rock U,BS,55,22,U of Pittsburgh,MA,0,1,60,27,11,4,585186,396500,103210,,3074460,0.01,2449,195.8,13,Electric utilities-southeast,19
1084160,FALSE,Health,Amgen,Mr. Gordon M Binder,St Louis,MO,58,Purdue U,BSE,57,21,Harvard,MBA,1,1,62,26,12,6,466676,487057,130428,,4318970,0.142,1374,374.6,41,Health-biotechnology,3
1075910,FALSE,Health,American Cyanamid,Mr. Albert J Costello,New York,NY,58,Fordham U,BS,57,21,NYU,MS,0,1,64,28,37,1,525000,329649,221265,,,0.011,4277,-163.7,2,Health-drugs,3
1075140,FALSE,Financial,Dime Bancorp,Mr. Richard D Parsons,Brooklyn,NY,46,U of Hawaii,BA,68,20,Union C,JD,0,1,71,23,6,4,525000,225000,325139,,2651220,0.382,576,44.6,-8,Financial services-thrift institutions,1
1074640,FALSE,Construction,Vulcan Materials,Mr. Herbert A Sklenar,Omaha,NE,62,U of Nebraska O,BS,52,20,Harvard,MBA,1,1,54,22,22,8,535004,225000,314634,,5174880,0.301,1133,88.2,5,Construction-materials,0
1073930,FALSE,Consumer,Springs Industries,Mr. Walter Y Elisha,Gary,IN,61,Wabash C,BA,54,21,Harvard,MBA,1,1,65,32,14,13,575004,400000,98921,,4568350,0.512,2023,47.3,1,Consumer durables-home furnishings,18
1066960,FALSE,Transport,American President C,Mr. John M Lillie,Chicago,IL,57,Stanford U,BS,59,22,Stanford U,MBA,1,1,64,27,4,2,553800,403997,109161,,3316540,0.059,2594,80.1,8,Transport-shipping,7
1064740,FALSE,Consumer,Kimberly-Clark,Mr. Wayne R Sanders,Chicago,IL,46,Illinois Tech,BSC,69,21,Marquette U,MBA,1,1,72,24,19,2,677500,380160,7075,,3970150,0.024,6973,510.9,15,Consumer nondurables-personal products,18
1047910,FALSE,Financial,SouthTrust,Mr. Wallace D Malone Jr,Dothan,AL,57,U of Alabama,BS,57,20,U of Pennsylvan,MBA,1,1,60,23,35,13,605016,363000,79891,,6933140,1.689,1102,150.5,19,Financial services-regional banks,1
1047200,FALSE,Energy,Pennzoil,Mr. James L Pate,Mt Sterling,IL,58,Monmouth C,AB,63,27,Indiana U,MBA,1,1,64,28,18,4,592500,385000,69700,,4225590,0.039,2477,160.2,-5,Energy-other energy,12
1044280,FALSE,Business,Alco Standard,Mr. John E Stuart,Berkeley,CA,50,Pace U NY,BS,80,36,Pace U NY,MBA,1,1,80,36,9,1,393750,350000,100533,200000,,0.046,6916,6,17,Business-supplies,13
1036170,FALSE,Food,Sysco,Mr. John F Woodhouse,Wilmington,DE,63,Wesleyan C,BA,53,22,Harvard,MBA,1,1,55,24,25,11,562500,403664,70008,,5674830,0.354,10589,212.2,20,Food distributors-food wholesalers,2
1034240,FALSE,Retailing,Wal-Mart Stores,Mr. David D Glass,Mountainview,MO,58,SW Missouri St,BS,59,23,,none,0,0,,,18,6,850000,,184235,,11777400,0.118,67345,2333.3,27,Retailing-drugdiscount,6
1034190,FALSE,Energy,Coastal Corp,Mr. Oscar S Wyatt Jr,Beaumont,TX,69,Texas AM,BSM,49,24,,none,0,0,,,39,1,896120,,138065,,,3.191,10136,118.3,8,Energy-other gas,12
1030600,FALSE,Financial,GATX,Mr. James J Glasser,Chicago,IL,59,Yale,AB,55,20,Harvard,JD,0,1,58,23,33,16,610008,313697,106897,,8406780,0.732,1087,72.7,12,Financial services-leasefinance,1
1029020,FALSE,Financial,HF Ahmanson,Mr. Charles R Rinehart,San Francisco,CA,47,U of San Franci,BS,68,21,,none,0,0,,,5,1,643758,312817,72448,,,0.115,3100,-138,5,Financial services-thrift institutions,1
1025430,FALSE,Consumer,Harley-Davidson,Mr. Richard F Teerlink,Chicago,IL,57,Bradley U,BS,61,24,U of Chicago,MBA,1,1,76,39,13,5,425672,546000,53756,,5445770,0.654,1217,18.4,45,Consumer durables-recreation equipment,18
1023520,FALSE,Utility,TECO Energy,Mr. Timothy L Guzzle,Ottumwa,IA,57,U of Oklahoma,BS,58,21,Texas Christian,PhD,0,1,65,28,6,5,443750,194000,28267,357500,4261430,0.02,1284,150.3,17,Electric utilities-southeast,19
1020460,FALSE,Financial,Provident Bancorp,Mr. Allen L Davis,Dayton,OH,52,U of Cincinnati,BA,64,22,,none,0,0,,,10,8,515031,400000,105431,,4374090,0.794,325,51.3,15,Financial services-regional banks,1
1013560,FALSE,Energy,Murphy Oil,Mr. Jack W McNutt,Norphlet,AR,59,Harding U,BS,56,21,Columbia,MS,0,1,57,22,37,6,507500,240000,33595,232466,3514990,0.138,1637,86.8,6,Energy-other energy,12
1013330,FALSE,Insurance,American Re,Mr. Edward B Jobe,Keokuk,IA,64,,,,,,none,0,0,,,31,7,457385,525000,30947,,2674740,0.011,1444,110.7,-24,Insurance-propertycasualty,4
1012540,FALSE,Business,Thermo Electron,Dr. George N Hatsopoulos,Greece,,67,MIT,BS,49,22,MIT,PhD,0,1,56,29,38,38,417000,450000,10118,135420,9870720,2.007,1250,76.6,23,Business-environmentalwaste,10
1012000,FALSE,Utility,DQE,Mr. Wesley W von Schack,New York,NY,50,Fordham U,AB,65,21,Pace U NY,PhD,0,1,90,46,10,8,440000,,,572000,2948380,0.043,1196,141.4,18,Electric utilities-north central,19
1010150,FALSE,Energy,UtiliCorp United,Mr. Richard C Green Jr,Kansas City,MO,40,SMU,BSB,76,22,,none,0,0,,,18,9,445000,,565152,,3346210,0.657,1572,86.4,17,Energy-other gas,12
1009850,FALSE,Travel,Hilton Hotels,Mr. BarronHilton,Dallas,TX,66,,,,,,none,0,0,,,40,28,665128,340000,4717,,5140160,24.483,1358,102.7,2,Travel-hotelsrecreation,8
1008510,FALSE,Business,HR Block,Mr. Thomas M Bloch,Kansas City,MO,40,Claremont McKen,BA,76,22,,none,0,0,,,18,2,366667,254287,27797,359754,,0.332,1278,189.4,29,Business-services,13
1003970,FALSE,Travel,AMR,Mr. Robert L Crandall,Westerly,RI,58,U of Rhode Isla,BS,57,21,U of Pennsylvan,MBA,1,1,60,24,21,9,600000,,403974,,18463000,0.009,15816,-96,-1,Travel-airlines,8
998575,FALSE,Energy,Ultramar,Mr. JeanGaulin,Canada,,51,U of Montreal,BS,67,24,,none,0,0,,,20,5,600000,391500,7075,,2104500,0.112,2438,86.5,44,Energy-other energy,12
996975,FALSE,Travel,Southwest Airlines,Mr. Herbert D Kelleher,Camden,NJ,63,Wesleyan C,BA,53,22,NYU,LLB,0,1,56,25,27,13,395000,150000,64913,387062,3923760,0.812,2297,154.3,42,Travel-airlines,8
992927,FALSE,Chemicals,Praxair,Mr. H WilliamLichtenber,Yugoslavia,,59,U of Iowa,BA,57,22,SUNY Buffalo,MBA,1,1,62,27,35,2,546700,350000,96227,,,0.13,2438,143,6,Chemicals-specialized,15
987400,FALSE,Financial,Mercantile Bankshare,Mr. H FurlongBaldwin,Baltimore,MD,62,Princeton,AB,54,22,,none,0,0,,,38,18,648900,253100,85400,,4778700,0.38,455,82.4,10,Financial services-regional banks,1
985500,FALSE,Insurance,Jefferson-Pilot,Mr. David A Stonecipher,Cleveland,TN,53,Vanderbilt U,BBA,62,21,Georgia State U,MS,0,1,67,26,2,1,750000,235500,,,,0.041,1247,219.3,20,Insurance-lifehealth,4
984577,FALSE,Food,Albertson's,Mr. Gary G Michael,Laurel,MT,53,U of Idaho,BS,62,21,,none,0,0,,,28,3,637577,325000,22000,,6632890,0.096,11284,339.7,24,Food distributors-supermarketsconvenience,2
983484,FALSE,Utility,Potomac Electric Pow,Mr. Edward F Mitchell,Harrisonburg,VA,62,U of Virginia,BSE,56,24,George Washingt,MEA,0,1,60,28,38,5,540000,218700,224784,,3356800,0.041,1702,241.6,9,Electric utilities-northeast,19
983210,FALSE,Consumer,Newell Co,Mr. William P Sovey,Helen,GA,60,Georgia Tech,BS,55,21,,none,0,0,,,8,2,550000,415800,17410,,,0.218,1645,165.3,20,Consumer durables-home furnishings,18
979092,FALSE,Financial,MarshallIlsley,Mr. James B Wigdale,Milwaukee,WI,57,Stanford U,BA,59,22,,none,0,0,,,32,2,450000,325000,204092,,,0.49,787,125.5,19,Financial services-regional banks,1
978033,FALSE,Forest,Potlatch,Mr. John M Richards,Spokane,WA,57,Stanford U,BA,59,22,Harvard,MBA,1,1,61,24,30,1,385600,135300,16195,440938,,0.034,1369,38.3,9,Forest products-paperlumber,9
976510,FALSE,Utility,Northern States Powe,Mr. James J Howard,Pittsburgh,PA,58,U of Pittsburgh,BBA,57,21,MIT,MS,0,1,70,34,7,7,511300,231931,233279,,3788150,0.03,2404,211.7,12,Electric utilities-north central,19
973695,FALSE,Retailing,Toys `R' Us,Mr. MichaelGoldstein,Brooklyn,NY,53,CUNY Queens,BA,63,22,,none,0,0,,,11,1,175000,772753,25942,,,0.012,7946,483,16,Retailing-specialty retailers,6
964239,FALSE,Utility,Commonwealth Edison,Mr. James J O'Connor,Chicago,IL,57,Col of the Holy,BS,58,21,Georgetown U,LLB,0,1,63,26,31,14,668126,215137,80976,,3665630,0.008,5260,102.7,2,Electric utilities-north central,19
962075,FALSE,Financial,Midlantic,Mr. Garry J Scheuring,Fairmont,MN,54,U of Notre Dame,BS,61,21,U of Chicago,MBA,1,1,64,24,3,3,650000,305000,7075,,2712040,0.044,1012,131.4,-4,Financial services-regional banks,1
960565,FALSE,Financial,Integra Financial,Mr. William F Roemer,Youngstown,OH,60,Princeton,BA,55,21,,none,0,0,,,24,15,536667,322000,101898,,3168540,0.063,1114,152.8,19,Financial services-regional banks,1
959000,FALSE,ComputersComm,Nextel Communication,Mr. Brian D McAuley,,,53,,,,,,none,0,0,,,7,7,320000,200000,439000,,2241000,1.042,62,-36.1,57,Computerscommunications-telecommun,16
958356,FALSE,Consumer,Avon Products,Mr. James E Preston,Cleveland,OH,61,Northwestern U,BS,55,22,,none,0,0,,,30,5,610000,311478,36878,,14117700,0.21,4008,239.6,25,Consumer nondurables-personal products,18
953206,FALSE,Financial,Southern National,Mr. L GlennOrr Jr,Charlotte,NC,54,Wofford C,BA,62,22,U of S Carolina,MBA,1,1,63,23,22,4,444184,217700,291322,,2671120,0.198,438,75.6,10,Financial services-regional banks,1
951545,FALSE,Financial,AmSouth Bancorporati,Mr. John W Woods,Evanston,IL,62,U of the South,BA,54,22,,none,0,0,,,25,22,595000,327250,29295,,5090350,0.197,971,146.2,18,Financial services-regional banks,1
947628,FALSE,Consumer,James River Corp of,Mr. Robert C Williams,Cincinnati,OH,64,U of Cincinnati,BSM,53,23,Xavier U,MBA,1,1,57,27,35,4,824615,,123013,,4994040,0.671,4650,-0.3,-6,Consumer nondurables-personal products,18
946817,FALSE,Insurance,Cigna,Mr. Wilson H Taylor,Hartford,CT,50,Trinity College,BS,64,20,,none,0,0,,,30,6,790000,,53567,103250,8219730,0.105,18402,234,8,Insurance-diversified,4
945695,FALSE,Business,Comdisco,Mr. Kenneth N Pontikes,Chicago,IL,54,Southern Illino,BA,63,23,,none,0,0,,,25,25,500000,440605,5090,,6589710,24.231,2118,70,-1,Business-supplies,13
943015,FALSE,Health,Pall,Mr. Maurice G Hardy,England,,64,Merchant Ventur,BSM,49,19,,none,0,0,,,32,5,441012,382225,119778,,6574260,0.173,683,97.2,14,Health-medical supplies,3
941335,FALSE,Food,Tyson Foods,Mr. Leland E Tollett,Nashville,AR,57,U of Arkansas,BSA,58,21,U of Arkansas,MSA,0,1,59,22,35,3,485000,115000,44335,297000,5522550,1.4,4777,185.3,22,Fooddrinktobacco-food processors,2
936668,FALSE,ComputersComm,Quantum,Mr. William J Miller,Fargo,ND,48,U of Minnesota,BS,67,21,U of Minnesota,JD,0,1,70,24,2,2,400058,536610,,,,0.33,2003,-9.6,35,Computerscommunications-peripherals,16
935450,FALSE,Consumer,Genuine Parts,Mr. Larry L Prince,Dyersburg,TN,55,,,,,,none,0,0,,,36,4,405000,461700,1799,66951,3771220,0.05,4384,258.9,11,Consumer durables-automotive parts,18
935235,FALSE,Financial,Comerica,Mr. Eugene A Miller,Detroit,MI,56,Detroit Tech,BBA,64,26,,none,0,0,,,39,5,600000,261100,74135,,5327350,0.095,2245,340.6,15,Financial services-regional banks,1
934142,FALSE,Forest,Willamette Industrie,Mr. WilliamSwindells,Oakland,CA,63,Stanford U,BS,53,22,,none,0,0,,,41,12,588000,,76142,270000,4057660,5.745,2622,110.7,20,Forest products-paperlumber,9
925492,FALSE,Capital goods,EGG,Mr. John M Kucharski,Milwaukee,WI,58,Marquette U,BS,58,22,George Washingt,JD,0,1,65,29,22,7,540020,,36250,349222,3899810,0.102,2698,79.6,4,Capital goods-other industrial equipment,14
921921,FALSE,Financial,Wachovia,Mr. Leslie M Baker Jr,Lovettsville,VA,52,U of Richmond,BA,64,22,U of Virginia,MBA,1,1,69,27,25,1,450000,247500,48395,176026,,0.05,2742,492.1,16,Financial services-regional banks,1
919318,FALSE,Utility,PSI Resources,Mr. James E Rogers,Birmingham,AL,46,U of Kentucky,BBA,70,22,U of Kentucky,JD,0,1,74,26,6,6,402408,239324,277586,,3511440,0.04,1088,96.4,18,Electric utilities-north central,19
918782,FALSE,Health,Allergan,Mr. William C Shepherd,San Francisco,CA,55,U of Cal Berkel,BS,63,24,Pepperdine U,MBA,1,1,76,37,28,2,494348,320000,23235,81199,2480920,0.15,859,108.9,-1,Health-medical supplies,3
916567,FALSE,Utility,Scana,Mr. Lawrence M Gressette,St Matthews,SC,62,Clemson U,BS,54,22,U of S Carolina,LLB,0,1,59,27,11,4,383557,186615,346395,,2802330,0.032,1264,168,16,Electric utilities-southeast,19
915185,FALSE,Capital goods,Stanley Works,Mr. Richard H Ayers,Newton,MA,51,MIT,BS,65,22,MIT,MS,0,1,65,22,22,7,460000,229690,225495,,4850340,0.114,2273,92.6,8,Capital goods-other industrial equipment,14
914611,FALSE,Travel,Northwest Airlines,Mr. John H Dasburg,New York,NY,50,U of Florida,BS,66,22,U of Florida,JD,0,1,73,29,5,4,463906,450705,,,,0.042,8649,-115.3,,Travel-airlines,8
912994,FALSE,Financial,Star Banc,Mr. Jerry A Grundhofer,Los Angeles,CA,50,Loyola Marymoun,BA,67,23,,none,0,0,,,1,1,550000,190743,172251,,,0.027,631,100.3,17,Financial services-regional banks,1
911699,FALSE,Chemicals,PPG Industries,Mr. Jerry E Dempsey,Landrum,SC,61,Clemson U,BSM,54,21,Georgia State U,MBA,1,1,68,35,1,1,250000,312000,349699,,,0.005,5754,295,15,Chemicals-diversified,15
911034,FALSE,Food,McCormickCo,Mr. Bailey A Thomas,Crisfield,MD,63,Baltimore Comme,ABA,52,21,,none,0,0,,,33,2,492387,377875,6173,34599,4451270,0.239,1584,100.7,26,Fooddrinktobacco-food processors,2
903494,FALSE,Chemicals,Morton International,Mr. S. JayStewart,Pineville,WV,55,U of Cincinnati,BS,61,22,West Virginia U,MBA,1,1,66,27,21,1,455000,434844,13650,,,0.033,2537,154.4,23,Chemicals-specialized,15
903337,FALSE,Metals,Armco,Mr. James F Will,Pittsburgh,PA,55,Penn State U,BSE,61,22,Duquesne U,MBA,1,1,72,33,2,1,495833,53000,30781,323723,,0.19,1664,-327,-13,Metals-steel,5
903045,FALSE,Retailing,Kohl's,Mr. William S Kellogg,Milwaukee,WI,50,,,,,,none,0,0,,,28,15,686250,194737,22058,,,13.117,1306,55.7,86,Retailing-specialty retailers,6
902783,FALSE,Utility,Consolidated Edison,Mr. Eugene R McGrath,New York,NY,52,Manhattan C,BSM,63,21,Iona C,MBA,1,1,80,38,31,4,551667,253500,97616,,3144590,0.005,6265,658.5,12,Electric utilities-northeast,19
893535,FALSE,Entertainment,Gaylord Entertainmen,Mr. Earl W Wendell,Akron,OH,66,Wooster,BBA,50,22,,none,0,0,,,44,3,599023,248811,45701,,3475490,0.024,623,36.1,36,Entertainmentinformation-broadcasting,17
888556,FALSE,Energy,El Paso Natural Gas,Mr. William A Wise,Davenport,IA,48,Vanderbilt U,BA,67,21,U of Colorado,JD,0,1,70,24,24,4,400000,400000,88556,,5290110,0.211,909,91.7,31,Energy-other gas,12
884486,FALSE,Consumer,Maytag,Mr. Leonard A Hadley,Earlham,IA,59,U of Iowa,BS,58,23,,none,0,0,,,35,2,527675,350000,6811,,2060730,0.099,2987,51.3,3,Consumer durables-appliances,18
884470,FALSE,Financial,Standard Federal Ban,Mr. Thomas R Ricketts,Detroit,MI,63,U of Michigan,BBA,53,22,U of Michigan,JD,0,1,56,25,38,20,753000,125500,5970,,3876430,0.115,769,115.6,29,Financial services-thrift institutions,1
883430,FALSE,Financial,West One Bancorp,Mr. Daniel R Nelson,Spokane,WA,56,Washington Stat,BBA,62,24,,none,0,0,,,10,8,429996,180598,14163,258673,2965950,0.046,600,83.2,22,Financial services-regional banks,1
878750,FALSE,Health,National Intergroup,Mr. Abbey J Butler,New York,NY,56,American U,BS,58,20,,none,0,0,,,4,3,702000,175000,1750,,,9.59,5388,8.6,-1,Health-drugs,3
877840,FALSE,Utility,Boston Edison,Mr. Bernard W Reznicek,Dodge,NE,57,Creighton U,BS,58,21,U of Nebraska L,MBA,1,1,79,42,7,3,435000,283500,159340,,3045650,0.027,1482,118.2,19,Electric utilities-northeast,19
875180,FALSE,Financial,Bank South,Mr. Patrick L Flinn,Washington,DC,52,U of Illinois,BA,64,22,Georgia State U,MBA,1,1,72,30,3,3,358631,496084,20465,,1708370,0.059,435,70.9,10,Financial services-regional banks,1
874935,FALSE,Health,Mallinckrodt Group,Mr. C RayHolman,Little Rock,AR,51,U of Missouri,BS,64,21,,none,0,0,,,18,1,433013,220000,15543,206379,,0.128,1850,-102.9,21,Health-drugs,3
869452,FALSE,Financial,TCF Financial,Mr. William A Cooper,Detroit,MI,50,Wayne State U,BS,67,23,,none,0,0,,,9,9,500006,,161871,207575,5679500,2.752,477,38,26,Financial services-thrift institutions,1
867002,FALSE,Health,Marion Merrell Dow,Mr. Fred W Lyons Jr,Youngstown,OH,58,U of Michigan,BS,57,21,Harvard,MBA,1,1,59,23,24,10,675000,,192002,,15149200,0.083,2818,362,,Health-drugs,3
865984,FALSE,Chemicals,Eastman Chemical,Mr. Earnest W Deavenport,Macon,MS,56,Mississippi Sta,BS,60,22,MIT,MS,0,1,85,47,34,1,500000,276028,50118,39838,,0.001,3903,247,,Chemicals-specialized,15
863009,FALSE,Transport,Roadway Services,Mr. Joseph M Clapp,Greensboro,NC,57,U of North Caro,BS,58,21,,none,0,0,,,27,7,325000,271104,266905,,4219780,0.205,4156,119.3,20,Transport-shipping,7
862818,FALSE,Food,Hannaford Bros,Mr. Hugh G Farrington,North Conway,NH,49,Dartmouth,BA,67,22,U of New Hampsh,MA,0,1,68,23,26,2,338000,253500,181574,89744,,0.498,2055,54.6,14,Food distributors-supermarketsconvenience,2
860270,FALSE,ComputersComm,AMP,Mr. William J Hudson Jr,Chicago,IL,60,Cornell,BS,57,23,,none,0,0,,,32,1,533333,196747,113546,16644,,0.012,3451,296.7,10,Computerscommunications-peripherals,16
858189,FALSE,Consumer,Snap-on,Mr. Robert A Cornog,Philadelphia,PA,54,Illinois Tech,BS,61,21,U of Chicago,MBA,1,1,66,26,3,3,416583,386880,2335,52391,1808220,0.04,1132,85.8,5,Consumer durables-automotive parts,18
856694,FALSE,Metals,Asarco,Mr. Richardde J Osborne,Bronxville,NY,60,Princeton,AB,56,22,,none,0,0,,,19,8,725000,,8994,122700,4963070,0.151,1736,-70.7,,Metals-nonferrous metals,5
856166,FALSE,Energy,Kerr-McGee,Mr. Frank A McPherson,Stillwell,OK,61,Oklahoma State,BS,57,24,,none,0,0,,,37,11,584077,,272089,,5253090,0.114,3281,77.1,2,Energy-other energy,12
850000,FALSE,Health,National Medical Ent,Mr. JeffreyBarbakow,Los Angeles,CA,50,San Jose State,BS,66,22,USC,MBA,1,1,68,24,1,1,850000,,,,,0.011,3435,-270.1,6,Health-health care services,3
846764,FALSE,Food,Hormel Foods,Mr. Joel W Johnson,,,51,,,,,,none,0,0,,,3,1,273300,558000,15464,,,0.013,2888,103,14,Fooddrinktobacco-food processors,2
842121,FALSE,Financial,Compass Bancshares,Mr. D PaulJones Jr,Birmingham,AL,51,U of Alabama,BS,64,21,NYU,JD,0,1,67,24,16,3,408098,408098,25925,,5975560,1.372,625,89.3,25,Financial services-regional banks,1
838007,FALSE,Food,Flagstar Cos,Mr. Jerome J Richardson,Spring Hope,NC,57,Wofford C,BA,59,22,,none,0,0,,,33,5,824355,,13652,,9291410,1.931,3970,-1681.5,,Food distributors-restaurant chains,2
836211,FALSE,Food,Food Lion,Mr. Tom E Smith,Salisbury,NC,53,Catawba C,BA,64,23,,none,0,0,,,24,8,642314,,193897,,4760260,0.726,7610,3.9,-3,Food distributors-supermarketsconvenience,2
833152,FALSE,Chemicals,Nalco Chemical,Mr. Edward J Mooney,Omar,WV,53,U of Texas Aust,BS,64,23,U of Texas Aust,JD,0,1,67,26,25,1,390000,176982,266170,,,0.057,1389,152.7,16,Chemicals-specialized,15
831873,FALSE,Retailing,Caldor,Mr. Don R Clarke,Rexburg,ID,48,Brigham Young U,BS,70,24,Washington Stat,MBA,1,1,71,25,8,8,531250,297675,2948,,6057400,1.024,2414,41.4,14,Retailing-drugdiscount,6
831340,FALSE,Capital goods,Hubbell,Mr. G J Ratcliffe,Charleston,WV,58,Duke U,AB,58,22,U of Virginia,JD,0,1,61,25,20,6,442900,340000,48440,,6464150,0.361,832,66.3,19,Capital goods-electrical equipment,14
828219,FALSE,Business,Kelly Services,Mr. Terence E Adderley,Detroit,MI,60,U of Michigan,BBA,55,21,U of Michigan,MBA,1,1,56,22,36,27,540000,190000,98219,,3341770,5.418,1955,44.6,4,Business-services,13
827873,FALSE,Food,International Multif,Mr. AnthonyLuiso,Italy,,50,Iona C,BA,67,23,U of Chicago,MBA,1,1,82,38,7,5,413333,355800,58740,,2648820,0.288,2200,2.2,2,Fooddrinktobacco-food processors,2
827731,FALSE,Food,Dean Foods,Mr. Howard M Dean,Hinsdale,IL,56,SMU,BBA,60,22,Northwestern U,MBA,1,1,61,23,39,7,448095,300222,12072,67342,5407070,0.949,2352,66.3,9,Fooddrinktobacco-food processors,2
824245,FALSE,Food,Pioneer Hi-Bred Inte,Mr. Thomas N Urban,DesMoines,IA,59,Harvard,BA,56,21,Harvard,MBA,1,1,60,25,34,13,483514,189859,150872,,4328710,0.414,1342,132.4,24,Fooddrinktobacco-food processors,2
820226,FALSE,Entertainment,Tele-Communications,Dr. John C Malone,Milford,CT,53,Yale,BS,63,22,Johns Hopkins U,PhD,0,1,67,26,21,21,800000,,20226,,21168500,0.238,4047,12,8,Entertainmentinformation-broadcasting,17
817947,FALSE,Financial,First National of Ne,Mr. John R Lauritzen,,,77,,,,,,none,0,0,,,51,26,397303,304233,116411,,1975410,46.11,546,70.1,,Financial services-regional banks,1
816667,FALSE,Financial,MBNA,Mr. AlfredLerner,New York,NY,61,Columbia,BA,55,22,,none,0,0,,,11,3,816667,,,,3197050,12.152,1393,207.8,41,Financial services-leasefinance,1
816573,FALSE,Chemicals,Olin,Mr. John W Johnstone Jr,Brooklyn,NY,61,Hartwick C,BA,54,21,,none,0,0,,,15,7,600000,140000,76573,,4717150,0.23,2423,-92,3,Chemicals-diversified,15
814754,FALSE,ComputersComm,Merisel,Mr. Michael D Pickett,Long Beach,CA,46,USC,BBA,69,21,,none,0,0,,,11,6,487629,282125,45000,,4921880,0.101,3086,30.4,24,Computerscommunications-peripherals,16
813524,FALSE,Travel,Host Marriott,Mr. Stephen F Bollenbach,Los Angeles,CA,51,USC,BS,65,22,Cal St Los Ange,MBA,1,1,68,25,2,1,473077,327370,13077,,,0.006,1354,-60,10,Travel-hotelsrecreation,8
812478,FALSE,ComputersComm,LDDS Communications,Mr. BernardEbbers,Canada,,52,Mississippi C,BA,67,25,,none,0,0,,,9,9,300000,500000,12478,,2324150,7.292,1145,104.2,100,Computerscommunications-telecommun,16
808333,FALSE,Food,Universal,Mr. Henry H Harrell,Richmond,VA,54,WashingtonLee,BA,61,21,,none,0,0,,,20,6,361655,355000,80193,11485,3042430,0.213,2887,59.9,5,Fooddrinktobacco-tobacco,0
