Total Comp,Top 20,Wide Industry,Company,CEO,City of Birth,State of Birth,Age,Undergrad,UG Degree,UG Date,AgeOfUnder,Graduate,Grad Degree,MBA?,MasterPhd?,G_date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,other,St_gains,Comp for 5 yrs,Stock owned,Sales,Profits,Return over 5 yrs,Industry,Industry Code
1368450,FALSE,Aerospacedefense,Sundstrand,Mr. Harry C Stonecipher,Scott County,TN,58,Tennessee Tech,BS,60,24,,none,0,0,,,7,5,650000,186875,531579,,5360480,0.609,1383,145.7,13,Aerospacedefense,11
1367380,FALSE,Transport,Consolidated Freight,Mr. Donald E Moffitt,Terre Haute,IN,62,,,,,,none,0,0,,,39,3,600028,603028,138545,25777,2760190,0.003,4192,50.6,-1,Transport-shipping,7
1367230,FALSE,Health,Becton Dickinson,Mr. Raymond V Gilmartin,Washington,DC,53,Union C,BSE,63,22,Harvard,MBA,1,1,68,27,18,5,629167,420000,29388,288671,5329840,0.088,2459,215.2,10,Health-medical supplies,3
1365540,FALSE,Health,McKesson,Mr. AlanSeelenfreund,New York,NY,57,Cornell,BME,59,22,Stanford U,PhD,0,1,67,30,19,5,500000,550000,207410,108127,5019550,0.133,12203,150.5,20,Health-drugs,3
1359730,FALSE,Chemicals,Sigma-Aldrich,Mr. Carl T Cori,St Louis,MO,57,U of Wisc Madis,BS,59,22,Washington U,PhD,0,1,69,32,24,11,600000,299721,460008,,6364670,0.259,739,107.2,18,Chemicals-specialized,15
1356070,FALSE,Financial,Salomon,Mr. Robert E Denham,Dallas,TX,48,U of Texas Aust,BA,66,20,Harvard,JD,0,1,71,25,3,2,956800,368700,30567,,,0.024,8799,864,16,Financial services-brokerage,1
1353710,FALSE,Energy,Williams Cos,Mr. Keith E Bailey,Kansas City,MO,52,U of Missouri,BS,64,22,,none,0,0,,,21,1,450000,283500,591336,28875,,0.077,2438,231.8,14,Energy-other gas,12
1343440,FALSE,Consumer,Dana,Mr. Southwood J Morcott,Covington,GA,56,Davidson C,BA,60,22,U of Michigan,MBA,1,1,63,25,31,5,761898,412500,85668,83375,5408340,0.112,5588,128.5,13,Consumer durables-automotive parts,18
1339200,FALSE,Health,Chiron,Mr. Edward E Penhoet,Oakland,CA,53,Stanford U,AB,63,22,U of Washington,PhD,0,1,68,27,13,13,323122,247754,7075,761250,3659400,0.389,318,18.4,29,Health-biotechnology,3
1328000,FALSE,Utility,Entergy,Mr. EdwinLupberger,Atlanta,GA,57,Davidson C,AB,58,21,Emory U,MBA,1,1,63,26,15,8,542077,437610,301597,46717,4708380,0.013,4485,458.1,19,Electric utilities-south central,19
1313890,FALSE,Financial,Old Kent Financial,Mr. John C Canepa,Newburyport,MA,63,Harvard,BA,53,22,NYU,MBA,1,1,60,29,24,12,570000,356250,387644,,6752430,0.79,807,127.9,18,Financial services-regional banks,1
1307150,FALSE,Financial,Firstar,Mr. Roger L Fitzsimonds,Milwaukee,WI,56,U of Wisc Milwa,BA,60,22,U of Wisc Milwa,MBA,1,1,71,33,30,3,548000,378900,380250,,4217730,0.112,1209,204.3,22,Financial services-regional banks,1
1301790,FALSE,Construction,Manville,Mr. W ThomasStephens,Crossett,AR,51,U of Arkansas,BS,65,22,U of Arkansas,MS,0,1,66,23,31,8,500000,300000,501788,,7252200,0.288,2276,60.8,6,Construction-materials,0
