Rank;Company;Previous Rank;Revenues ($M);Profits ($M);Assets ($M);Market Value ($M);Employees;CEO;CEO Title;CEO Gender;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
77;Honeywell International;73;40534;1655;59387;108149;131000;Darius Adamczyk;President, Chief Executive Officer &  Director;Male;Industrials;Electronics, Electrical Equip.;24;Morris Plains;NJ;40.8395922;-74.4818698
78;Merck;69;40122;2394;87872;146862;69000;Kenneth C. Frazier;Chairman, President &  Chief Executive Officer;Male;Health Care;Pharmaceuticals;24;Kenilworth;NJ;40.6764911;-74.2907032
79;Allstate;84;38524;3189;112422;33478;42680;Thomas J. Wilson;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);23;Northbrook;IL;42.1275267;-87.8289548
80;Tyson Foods;82;38260;1774;28066;29233;122000;Thomas P. Hayes;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;Food Production;24;Springdale;AR;36.1867442;-94.1288141
81;United Continental Holdings;83;37736;2131;42326;19778;89800;Oscar Munoz;Chairman &  Chief Executive Officer;Male;Transportation;Airlines;24;Chicago;IL;41.8781136;-87.6297982
82;Oracle;81;37728;9335;134991;186766;138000;Safra A. Catz/Mark V. Hurd;Co-Chief Executive Officer &  Director;Female;Technology;Computer Software;23;Redwood City;CA;37.4852152;-122.2363548
83;Tech Data;107;36775;116.6;12653;3249;14000;Richard T. Hume;Chairman &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Electronics and Office Equipment;24;Clearwater;FL;27.9658533;-82.8001026
84;TIAA;80;36025;1049.7;583632;NA;16829;Roger W. Ferguson Jr.;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Life, Health (Mutual);21;New York;NY;40.7127753;-74.0059728
85;TJX;87;35865;2607.9;14058;51571;249000;Ernie L. Herrman;President, Chief Executive Officer &  Director;Male;Retailing;Specialty Retailers: Apparel;24;Framingham;MA;42.279286;-71.4161565
86;American Express;86;35583;2736;181159;80234;55000;Stephen J. Squeri;Chairman &  Chief Executive Officer;Male;Financials;Diversified Financials;24;New York;NY;40.7127753;-74.0059728
87;Coca-Cola;64;35410;1248;87896;185207;61800;James R. Quincey;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;Beverages;24;Atlanta;GA;33.7489954;-84.3879824
88;Publix Super Markets;85;34837;2291.9;18184;NA;193000;Randall T. Jones Sr.;President, Chief Executive Officer &  Director;Male;Food &  Drug Stores;Food and Drug Stores;24;Lakeland;FL;28.0394654;-81.9498042
89;Nike;88;34350;4240;23259;108094;74400;Mark G. Parker;Chairman, President &  Chief Executive Officer;Male;Apparel;Apparel;24;Beaverton;OR;45.4887993;-122.8013332
90;Andeavor;117;34204;1528;28573;15386;14300;Gregory J. Goff;Chairman, President &  Chief Executive Officer;Male;Energy;Petroleum Refining;19;San Antonio;TX;29.4241219;-98.4936282
91;World Fuel Services;103;33696;-170.2;5588;1661;5000;Michael J. Kasbar;Chairman &  Chief Executive Officer;Male;Energy;Energy;14;Miami;FL;25.7616798;-80.1917902
92;Exelon;89;33531;3770;116700;37644;34621;Christopher M. Crane;President, Chief Executive Officer &  Director;Male;Energy;Utilities: Gas and Electric;24;Chicago;IL;41.8781136;-87.6297982
93;Massachusetts Mutual Life Insurance;77;33495;513;288855;NA;11811;Roger W. Crandall;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (Mutual);24;Springfield;MA;42.1014831;-72.589811
94;Rite Aid;91;32845;04. Jan;11594;1793;70430;John T. Standley;Chairman &  Chief Executive Officer;Male;Food &  Drug Stores;Food and Drug Stores;24;Camp Hill;PA;40.2398118;-76.9199742
95;ConocoPhillips;115;32584;-855;73362;69641;11400;Ryan M. Lance;Chairman &  Chief Executive Officer;Male;Energy;Mining, Crude-Oil Production;24;Houston;TX;;
96;CHS;93;31935;127.9;15974;NA;11626;Jay D. Debertin;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;;19;Inver Grove Heights;MN;44.8480218;-93.0427153
97;3M;94;31657;4858;37987;130550;91536;Inge G. Thulin;Chairman, President &  Chief Executive Officer;Male;Industrials;Miscellaneous;24;St Paul;MN;44.9537029;-93.0899578
98;Time Warner;95;31271;5247;69209;73758;26000;John Stankey;Chairman &  Chief Executive Officer;Male;Media;Entertainment;19;New York;NY;40.7127753;-74.0059728
99;General Dynamics;90;30973;2912;35046;65845;98600;Phebe N. Novakovic;Chairman &  Chief Executive Officer;Female;Aerospace &  Defense;Aerospace and Defense;24;Falls Church;VA;38.882334;-77.1710914
100;USAA;102;30016;2421.9;155391;NA;32705;Stuart Parker;Chief Executive Officer;Male;Financials;;24;San Antonio;TX;29.4241219;-98.4936282
101;Capital One Financial;100;29999;1982;365693;46584;49300;Richard D. Fairbank;Chairman, President &  Chief Executive Officer;Male;Financials;Commercial Banks;19;McLean;VA;38.9338676;-77.1772604
102;Deere;105;29738;2159.1;65786;50291;60476;Samuel R. Allen;Chairman, President &  Chief Executive Officer;Male;Industrials;Construction and Farm Machinery;24;Moline;IL;41.5067003;-90.5151342
103;INTL FCStone;189;29424;06. Apr;6243;804;1607;Sean M. O'Connor;President, Chief Executive Officer &  Director;Male;Financials;Diversified Financials;10;New York;NY;40.7127753;-74.0059728
104;Northwestern Mutual;97;29331;1017;265049;NA;5437;John E. Schlifske;Chairman &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (Mutual);24;Milwaukee;WI;43.0389025;-87.9064736
105;Enterprise Products Partners;122;29242;2799.3;54418;52904;7000;A. James Teague;Chairman &  Chief Executive Officer;Male;Energy;Pipelines;13;Houston;TX;29.7604267;-95.3698028
106;Travelers Cos.;99;28902;2056;103483;37691;30800;Alan D. Schnitzer;Chairman &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);24;New York;NY;40.7127753;-74.0059728
107;Hewlett Packard Enterprise;59;28871;344;61406;27243;66000;Antonio Neri;President, Chief Executive Officer &  Director;Male;Technology;Computers, Office Equipment;2;Palo Alto;CA;37.4418834;-122.1430195
108;Philip Morris International;104;28748;6035;42968;154514;80600;Andre Calantzopoulos;Chairman &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Tobacco;10;New York;NY;40.7127753;-74.0059728
109;Twenty-First Century Fox;101;28500;2952;50724;67969;21700;James R. Murdoch;Chief Executive Officer &  Director;Male;Media;Entertainment;14;New York;NY;40.7127753;-74.0059728
110;AbbVie;111;28216;5309;70786;150180;29000;Richard A. Gonzalez;Chairman &  Chief Executive Officer;Male;Health Care;Pharmaceuticals;5;North Chicago;IL;42.325578;-87.8411818
